"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
SPY×FAMILY,わくわく アーニャ,chara_spy_00001,PremiumUR,無,スペシャル,該当なし,-,-,202509010_リリース,リリース時,※,500,600,中コスト,-130,30.0,0.0,10.0,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!,-,#VALUE!,-,-,-,1500,-,-,-,-,-,0.00,,-,-,-,-,#VALUE!,-,-,#VALUE!,1000,-,-,-,0.00,0.00,0.00,-,-,-,-,※,-,-,-,0,-,-,-,-,-,-,-,-,-,-,#VALUE!,タップしたコマとその前後のコマ,タップしたコマとその前後のコマ,-,タップしたコマとその前後のコマ,味方,All,All,-,#VALUE!,#REF!,#REF!,SP専用,HP回復(割合),SP専用,味方,All,All,100,12,-,0,0,攻撃力UP,50.00,12,-,-,-,-,-
サマータイムレンダ,小舟 澪,chara_sum_00201,PremiumSR,青,アタック,近距離,dageki_1,shageki_1,202509010_リリース,リリース時,※,485,600,中コスト,-150,20.0,15.0,9.6,430,8.6,0.0,0.0,0.0,225,4.5,0.0,0.00,0.0,545,10.9,0.0,0.0,0.0,10,-,1,1170,"8,535",7.8,3.9,1460,-0.20,0.00,0.00,0.00,0.00,0.00,,1260,"9,193",1260,"9,193",-,#VALUE!,#VALUE!,1260,970,0.00,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,2,45,0.24,0,速,火傷ダメージ軽減,5,2,-,-,-,近距離,単体,1,0.25,中距離,範囲(小),0.75,0.35,敵,All,All,10.9,-,-,-,-,攻撃(必殺),-,敵,All,All,120,-,"11,032","1,079","5,395",ノックバック,1.00,-,-,-,-,-,-
魔都精兵のスレイブ,駿河 朱々,chara_sur_00301,PremiumSR,黄,ディフェンス,近距離,dageki_1,dageki_2,202509010_リリース,リリース時,※,480,600,中コスト,-150,10.0,20.0,9.5,1005,20.1,0.0,0.0,0.0,525,10.5,0.0,0.00,0.0,830,16.6,0.0,0.0,0.0,-,-,1,2740,"19,992",18.3,9.1,1440,0.90,0.00,0.00,0.00,0.00,0.00,,960,"7,004",480,"3,502",-,#VALUE!,#VALUE!,480,960,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,2,40,0.16,0,普通-速,ノックバック無効化,-,2,-,-,-,近距離,単体,1,0.17,近距離,範囲(小),0.75,0.27,敵,All,All,16.6,-,-,-,-,ノックバック,-,敵,All,All,1,-,-,45,225,-,-,-,-,-,-,-,-
SPY×FAMILY,フランキー・フランクリン,chara_spy_00401,DropSR,緑,ディフェンス,近距離,dageki_2,dageki_2,202509010_リリース,SPY×FAMILYいいジャン祭,※,470,600,中コスト,-150,10.0,10.0,9.3,1035,20.7,0.0,0.0,0.0,540,10.8,0.0,0.00,0.0,1180,23.6,0.0,8.4,-1.7,-,-,1,2820,"19,495",18.8,9.4,1410,0.90,0.00,0.00,0.00,0.10,0.00,,940,"6,497",470,"3,249",-,#VALUE!,#VALUE!,470,940,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,30,0.21,0,普通,突風コマ無効化,-,2,-,-,-,近距離,単体,1,0.22,近距離,単体,1,0.22,敵,All,All,23.6,-,-,-,-,攻撃(必殺),-,敵,All,All,153,-,"9,941",445,0,-,-,-,-,-,-,-,-
チェンソーマン,パワー,chara_chi_00301,PremiumSSR,青,アタック,中距離,dageki_1,dageki_1,202509010_リリース,リリース時,※,420,600,中コスト,-200,10.0,10.0,8.0,325,6.5,0.0,0.0,0.0,170,3.4,0.0,0.00,0.0,590,11.8,0.0,2.4,0.0,14,-,1,880,"6,709",5.9,2.9,1260,-0.20,0.00,-0.10,0.00,0.00,0.00,,1640,"12,504",1090,"8,336",-,#VALUE!,#VALUE!,1090,840,0.00,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,2,45,0.34,0,速,攻撃UPコマ効果UP,20,0,-,-,-,中距離,単体,1,0.35,中距離,範囲(小),0.75,0.45,敵,赤,All,11.8,-,-,-,-,キラー攻撃(赤),-,敵,赤,All,150,-,"21,101","1,930","9,649",-,-,-,-,-,-,-,-
道産子ギャルはなまらめんこい,秋野 沙友理,chara_dos_00101,PremiumSSR,無,スペシャル,該当なし,-,-,202509010_リリース,リリース時,※,400,600,中コスト,150,10.0,0.0,7.5,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!,-,#VALUE!,-,-,-,1200,-,-,-,-,-,0.00,,-,-,-,-,-,-,-,#VALUE!,800,-,-,-,0.00,0.00,0.00,-,-,-,-,※,-,-,-,0,-,-,-,-,-,-,-,-,-,-,#VALUE!,タップしたコマ,タップしたコマ,-,タップしたコマ,味方,All,ディフェンス,-,#VALUE!,#REF!,#REF!,ハイブリッド型,ダメージカット(ディフェンス),ハイブリッド型,味方,All,ディフェンス,20,10,-,0,0,-,-,-,-,-,-,-,-
タコピーの原罪,ハッピー星からの使者 タコピー,chara_tak_00001,PremiumUR,黄,ディフェンス,近距離,dageki_1,-,202509010_リリース,リリース時,※,390,200,低コスト,150,10.0,30.0,7.3,775,15.5,0.0,0.0,0.0,405,8.1,0.0,0.00,0.0,1405,28.1,0.0,13.5,0.0,9.0,19.1,1,2110,"17,245",14.1,7.0,1170,0.90,-0.40,0.00,0.30,0.00,0.00,,320,"2,614",160,"1,307",-,#VALUE!,#VALUE!,160,780,-0.30,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,25,0.16,0,遅い,ノックバック無効化,-,0,ダメージコマ無効化,-,4,近距離,単体,1,0.17,自身,自身,該当なし,自身,自身,All,All,28.1,-,-,-,安定型,ダメージカット(自身),安定型,自身,All,All,20,9.0,-,0,0,-,-,-,-,-,-,-,-
道産子ギャルはなまらめんこい,冬木 美波,chara_dos_00001,PremiumSSR,青,サポート,遠距離,dageki_1,dageki_1,202509010_リリース,リリース時,※,375,200,低コスト,150,10.0,15.0,6.9,125,2.5,0.0,-0.2,0.0,135,2.7,1.5,-0.11,0.0,1120,22.4,0.0,16.5,0.0,11.0,11.4,0,340,"2,592",2.3,1.1,1130,-0.40,0.00,-0.30,0.00,0.00,0.00,,1480,"11,285",530,"4,030","4,434",#VALUE!,#VALUE!,530,750,0.00,-0.30,0.00,0.00,0.00,0.00,140,140,0.0,2.8,※,3,30,0.62,0,普通,氷結攻撃無効化,50,0,-,-,-,遠距離,単体,1,0.63,自身と１つ先のコマにいる味方,"範囲(コマ)0,+1",0.6,"(コマ)0,+1",味方,青,All,22.4,-,-,-,持続型,攻撃力UP(青),持続型,味方,青,All,10,11.0,-,0,0,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,和倉 優希,chara_sur_00001,PremiumR,緑,サポート,近距離,dageki_2,-,202509010_リリース,リリース時,※,360,200,低コスト,150,10.0,0.0,6.5,240,4.8,0.0,0.0,0.0,125,2.5,0.0,0.00,0.0,695,13.9,0.0,5.9,0.0,3.9,10.0,1,650,"4,635",4.3,2.2,1080,-0.40,0.00,0.00,0.00,0.00,0.00,,750,"5,349",500,"3,566","4,422",#VALUE!,#VALUE!,500,720,0.00,-0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,1,35,0.27,0,速,-,-,-,-,-,-,近距離,単体,1,0.28,自身と同じコマにいる味方,範囲(コマ)0,-,(コマ)0,味方,緑,All,13.9,-,-,-,瞬間型,攻撃力UP(緑),瞬間型,味方,緑,All,24,3.9,-,0,0,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,大川村 寧,chara_sur_00401,DropSR,無,スペシャル,該当なし,-,-,202509010_リリース,リリース時,※,350,200,低コスト,-30,30.0,0.0,6.3,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,7,-,#VALUE!,-,-,-,1050,-,-,-,-,-,0.00,,-,-,-,-,-,-,-,#VALUE!,700,-,-,-,0.00,0.00,0.00,-,-,-,-,※,-,-,-,0,-,-,-,-,-,-,-,-,-,-,#VALUE!,全体,全体,-,全体,味方,All,All,-,7.0,#REF!,#REF!,SP専用,総攻撃バフ,SP専用,味方,All,All,12,-,-,0,0,-,-,-,-,-,-,-,-
ダンダダン,モモ,chara_dan_00101,PremiumSSR,赤,アタック,中距離,dageki_1,dageki_1,202509010_リリース,リリース時,※,330,200,低コスト,100,20.0,10.0,5.8,255,5.1,0.0,0.0,0.0,120,2.4,0.0,-0.23,0.0,520,10.4,0.0,2.1,0.0,18,-,1,690,"5,261",4.6,2.3,990,-0.20,0.00,-0.10,0.00,0.00,0.00,,1040,"7,929",690,"5,286",-,#VALUE!,#VALUE!,690,660,0.00,0.30,0.10,0.00,0.00,0.00,75,75,0.0,1.5,※,2,35,0.39,0,普通,攻撃UPコマ効果UP,20,0,-,-,-,中距離,範囲(小),0.75,0.5,中距離,範囲(小),0.75,0.5,敵,All,All,10.4,-,-,-,-,攻撃(必殺),-,敵,All,All,135,-,"10,704","1,112","5,560",ノックバック,2.00,-,-,-,-,-,-
姫様“拷問”の時間です,トーチャー・トルチュール,chara_gom_00101,PremiumSR,黄,テクニカル,近距離,dageki_2,dageki_1,202509010_リリース,リリース時,※,325,200,低コスト,100,10.0,15.0,5.6,255,5.1,0.0,0.0,0.0,130,2.6,0.0,0.00,0.0,860,17.2,0.0,10.5,-1.7,7.0,10.2,1,690,"5,034",4.6,2.3,980,-0.30,0.00,0.00,0.00,0.00,0.00,,720,"5,252",720,"5,252",-,#VALUE!,#VALUE!,720,650,0.00,0.10,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,3,35,0.31,0,普通,毒ダメージ軽減,5,2,-,-,-,近距離,単体,1,0.32,近距離,単体,1,0.32,敵,All,All,17.2,-,-,-,安定型,攻撃力Down,安定型,敵,All,All,14,7.0,-,46,0,-,-,-,-,-,-,-,-
ラーメン赤猫,文蔵,chara_aka_00101,PremiumR,赤,テクニカル,近距離,dageki_1,zangeki_1,202509010_リリース,リリース時,※,325,200,低コスト,100,25.0,0.0,5.6,255,5.1,0.0,0.0,0.0,130,2.6,0.0,0.00,0.0,640,12.8,0.0,4.5,0.0,3.0,9.8,1,690,"4,920",4.6,2.3,980,-0.30,0.00,0.00,0.00,0.00,0.00,,720,"5,134",720,"5,134",-,#VALUE!,#VALUE!,720,650,0.00,0.10,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,3,30,0.26,0,普通,-,-,-,-,-,-,近距離,単体,1,0.27,近距離,単体,1,0.27,敵,All,All,12.8,-,-,-,-,連続攻撃,-,敵,All,All,178,-,"9,139",773,0,火傷,6500.00,3,-,-,-,-,-
地獄楽,山田浅ェ門 仙汰,chara_jig_00301,PremiumSR,緑,ディフェンス,近距離,zangeki_1,zangeki_1,202509010_リリース,リリース時,※,320,200,低コスト,100,5.0,15.0,5.5,705,14.1,0.0,0.0,0.0,370,7.4,0.0,0.00,0.0,940,18.8,0.0,6.3,-1.4,-,-,1,1920,"14,009",12.8,6.4,960,0.90,0.00,0.00,0.00,0.10,0.00,,610,"4,449",320,"2,342",-,#VALUE!,#VALUE!,320,640,0.00,-0.50,0.00,0.00,0.00,0.00,95,100,-5.0,1.9,※,1,30,0.21,0,普通,毒ダメージ軽減,10,2,-,-,-,近距離,単体,1,0.22,近距離,単体,1,0.22,敵,All,All,18.8,-,-,-,-,連続攻撃,-,敵,All,All,180,-,"8,008",454,0,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,東 日万凛,chara_sur_00201,PremiumSR,青,アタック,近距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,315,200,低コスト,100,5.0,10.0,5.4,280,5.6,0.0,0.0,0.0,145,2.9,0.0,0.00,0.0,440,8.8,0.0,0.0,0.0,16,-,1,760,"5,544",5.1,2.5,950,-0.20,0.00,0.00,0.00,0.00,0.00,,820,"5,982",820,"5,982",-,#VALUE!,#VALUE!,820,630,0.00,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,2,40,0.24,0,普通-速,ダメージコマ無効化,-,2,-,-,-,近距離,単体,1,0.25,近距離,範囲(大),0.55,0.55,敵,All,All,8.8,-,-,-,-,連続攻撃,-,敵,All,All,99,-,"5,922",725,"3,624",-,-,-,-,-,-,-,-
鴨乃橋ロンの禁断推理,鴨乃橋 ロン,chara_ron_00001,PremiumSSR,青,テクニカル,中距離,dageki_2,dageki_1,202509010_リリース,リリース時,※,290,200,低コスト,50,25.0,15.0,4.8,190,3.8,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,565,11.3,0.0,4.1,0.0,1.5,9.8,1,520,"3,963",3.5,1.7,870,-0.30,0.00,-0.10,0.00,0.00,0.00,,960,"7,320",640,"4,880",-,#VALUE!,#VALUE!,640,580,0.00,0.10,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,3,35,0.36,0,普通,スタン攻撃無効化,30,0,-,-,-,中距離,単体,1,0.37,中距離,単体,1,0.37,敵,All,All,11.3,-,-,-,-,連続攻撃,-,敵,All,All,200,-,"14,639","1,412",0,スタン,-,1.5,-,-,-,-,-
阿波連さんははかれない,ライドウ,chara_aha_00001,PremiumSR,黄,ディフェンス,近距離,dageki_2,dageki_1,202509010_リリース,リリース時,※,280,200,低コスト,50,10.0,20.0,4.5,585,11.7,0.0,0.0,0.0,305,6.1,0.0,0.00,0.0,955,19.1,0.0,6.4,0.0,-,-,1,1600,"11,673",10.7,5.3,840,0.90,0.00,0.00,0.00,0.00,0.00,,560,"4,085",280,"2,043",-,#VALUE!,#VALUE!,280,560,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,30,0.21,0,普通,根性,1,2,-,-,-,近距離,単体,1,0.22,中距離,単体,1,0.35,敵,All,All,19.1,-,-,-,-,攻撃(必殺),-,敵,All,All,160,-,"6,537",368,0,-,-,-,-,-,-,-,-
忘却バッテリー,清峰 葉流火,chara_bat_00001,PremiumSR,赤,アタック,遠距離,dageki_1,dageki_2,202509010_リリース,リリース時,※,220,200,低コスト,0,10.0,10.0,3.0,125,2.5,0.0,0.0,0.0,100,2.0,0.0,-0.11,0.0,575,11.5,0.0,5.8,0.0,-,-,1,330,"2,407",2.2,1.1,660,-0.20,0.00,-0.30,0.00,0.00,0.00,,1860,"13,570",620,"4,523",-,#VALUE!,#VALUE!,620,440,0.00,0.30,0.10,0.00,0.00,0.00,150,150,0.0,3.0,※,3,45,0.59,0,速い-普通,攻撃UPコマ効果UP,15,2,-,-,-,遠距離,単体,1,0.6,遠距離,単体,1,0.6,敵,緑,All,11.5,-,-,-,-,キラー攻撃(緑),-,敵,緑,All,140,-,"28,497","2,693",0,-,-,-,-,-,-,-,-
鴨乃橋ロンの禁断推理,一色 都々丸,chara_ron_00101,PremiumR,青,ディフェンス,中距離,dageki_2,dageki_1,202509010_リリース,リリース時,※,210,200,低コスト,0,10.0,0.0,2.8,415,8.3,0.0,0.0,0.0,215,4.3,0.0,0.00,0.0,800,16.0,0.0,5.3,0.0,-,-,1,1130,"8,059",7.5,3.8,630,0.90,0.00,-0.10,0.00,0.00,0.00,,420,"2,995",210,"1,497",-,#VALUE!,#VALUE!,210,420,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,30,0.29,0,普通,-,-,-,-,-,-,中距離,単体,1,0.3,中距離,単体,1,0.3,敵,All,All,16.0,-,-,-,-,攻撃(必殺),-,敵,All,All,158,-,"4,732",319,0,-,-,-,-,-,-,-,-
怪獣８号,日比野 カフカ,chara_kai_00001,PremiumR,黄,アタック,近距離,dageki_1,-,202509010_リリース,リリース時,※,210,200,低コスト,0,10.0,0.0,2.8,185,3.7,0.0,0.0,0.0,100,2.0,0.0,0.00,0.0,650,13.0,0.0,5.9,0.0,25,9.1,1,500,"3,565",3.3,1.7,630,-0.20,0.00,0.00,0.00,0.00,0.00,,550,"3,922",550,"3,922","4,863",#VALUE!,#VALUE!,550,420,0.00,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,2,40,0.24,0,普通-速,-,-,-,-,-,-,近距離,単体,1,0.25,自身,自身,該当なし,自身,自身,All,All,13.0,-,-,-,瞬間型,攻撃力UP(自身),瞬間型,自身,All,All,24,3.9,-,0,0,-,-,-,-,-,-,-,-
チェンソーマン,デンジ,chara_chi_00001,PremiumR,緑,アタック,近距離,zangeki_1,dageki_1,202509010_リリース,リリース時,※,260,200,低コスト,50,10.0,0.0,4.0,225,4.5,0.0,0.0,0.0,120,2.4,0.0,0.00,0.0,395,7.9,0.0,0.0,0.0,20,-,1,620,"4,421",4.1,2.1,780,-0.20,0.00,0.00,0.00,0.00,0.00,,680,"4,850",680,"4,850",-,#VALUE!,#VALUE!,680,520,0.00,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,2,35,0.29,0,普通,-,-,-,-,-,-,近距離,単体,1,0.3,近距離,単体,1,0.3,敵,黄,All,7.9,-,-,-,-,キラー攻撃(黄),-,敵,黄,All,135,-,"9,820","1,335",0,-,-,-,-,-,-,-,-
ダンダダン,オカルン,chara_dan_00001,PremiumR,赤,ディフェンス,近距離,dageki_1,-,202509010_リリース,リリース時,※,160,200,低コスト,-50,10.0,0.0,1.5,335,6.7,0.0,0.0,0.0,175,3.5,0.0,0.00,0.0,995,19.9,0.0,10.4,0.0,6.9,13.0,1,910,"6,490",6.1,3.0,480,0.90,0.00,0.00,0.00,0.00,0.00,,320,"2,281",160,"1,140",-,#VALUE!,#VALUE!,160,320,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,30,0.16,0,普通,-,-,-,-,-,-,近距離,単体,1,0.17,自身,自身,該当なし,自身,自身,All,All,19.9,-,-,-,安定型,ダメージカット(自身),安定型,自身,All,All,14,6.9,-,0,0,-,-,-,-,-,-,-,-
怪獣８号,第三部隊隊長 亜白 ミナ,chara_kai_00201,PremiumUR,青,アタック,遠距離,shageki_1,shageki_1,202509010_怪獣8号,怪獣８号いいジャン祭,※,975,1000,高コスト,-55,5.0,25.0,21.9,715,14.3,0.0,0.0,0.0,375,7.5,0.0,0.00,0.0,1400,28.0,0.0,14.0,0.0,6,-,1,1950,"15,937",13.0,6.5,3900,-0.20,0.00,-0.30,0.00,0.00,0.00,,9510,"77,727",3170,"25,909",-,#VALUE!,#VALUE!,3170,2438,0.00,0.30,0.00,0.00,0.00,0.00,150,150,0.0,3.0,※,3,40,0.59,0,速-普通,スタン攻撃無効化,50,0,攻撃DOWNコマ無効化,-,4,遠距離,単体,1,0.6,遠距離,範囲(小：威力減),0.5,0.7,敵,All,All,28.0,-,-,-,-,連続攻撃,-,敵,All,All,113,-,"87,832","3,380","16,899",-,-,-,-,-,-,-,-
怪獣８号,四ノ宮 功,chara_kai_00501,DropSR,黄,アタック,近距離,dageki_1,dageki_1,202509010_怪獣8号,怪獣８号いいジャン祭,※,875,1000,高コスト,-150,10.0,15.0,19.4,675,13.5,0.0,0.0,0.0,355,7.1,0.0,0.00,0.0,680,13.6,0.0,0.0,0.0,6,-,1,1840,"12,719",12.3,6.1,2630,-0.20,0.00,0.00,-0.10,0.00,0.00,,1840,"12,719",1840,"12,719",-,#VALUE!,#VALUE!,1840,1750,0.10,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,2,25,0.29,0,遅い,スタン攻撃無効化,25,2,-,-,-,近距離,範囲(小),0.75,0.4,近距離,範囲(小),0.75,0.4,敵,All,All,13.6,-,-,-,-,攻撃(必殺),-,敵,All,All,115,-,"14,627","1,128","5,641",-,-,-,-,-,-,-,-
怪獣８号,保科 宗四郎,chara_kai_00401,PremiumSSR,青,アタック,近距離,zangeki_1,zangeki_1,202509010_怪獣8号,怪獣８号いいジャン祭,※,700,600,中コスト,75,5.0,20.0,15.0,695,13.9,0.0,0.0,0.0,360,7.2,0.0,0.00,0.0,690,13.8,0.0,0.0,0.0,6,-,1,1890,"14,411",12.6,6.3,2100,-0.20,0.00,0.00,0.10,0.00,0.00,,1340,"10,218",1680,"12,772",-,#VALUE!,#VALUE!,1680,1400,-0.10,0.30,0.00,0.00,0.00,0.00,40,50,-10.0,0.8,※,2,50,0.24,0,速,根性,1,0,-,-,-,近距離,単体,1,0.25,近距離,単体,1,0.25,敵,All,All,13.8,-,-,-,-,連続攻撃,-,敵,All,All,200,-,"20,435","1,554",0,-,-,-,-,-,-,-,-
怪獣８号,古橋 伊春,chara_kai_00601,DropSR,緑,ディフェンス,中距離,shageki_1,-,202509010_怪獣8号,怪獣８号いいジャン祭,※,225,200,低コスト,0,10.0,15.0,3.1,475,9.5,0.0,0.0,0.0,245,4.9,0.0,0.00,0.0,790,15.8,0.0,5.6,-1.1,3.7,12.1,1,1290,"8,918",8.6,4.3,680,0.90,0.00,-0.10,0.00,0.10,0.00,,460,"3,179",230,"1,590","1,955",#VALUE!,#VALUE!,230,450,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,45,0.34,0,速-普通,氷結攻撃無効化,40,2,-,-,-,中距離,単体,1,0.35,自身,自身,該当なし,自身,自身,All,All,15.8,-,-,-,瞬間型,攻撃力UP(自身),瞬間型,自身,All,All,23,3.7,-,0,0,-,-,-,-,-,-,-,-
SPY×FAMILY,姉を想う盲愛 ユーリ・ブライア,chara_spy_00501,PremiumUR,青,ディフェンス,近距離,dageki_1,-,202510010_SPY×FAMILY,SPY×FAMILYいいジャン祭,※,540,600,中コスト,-100,10.0,30.0,11.0,1305,26.1,0.0,0.0,0.0,680,13.6,0.0,0.00,0.0,1395,27.9,0.0,9.0,0.0,3,21.9,1,3560,"29,096",23.7,11.9,1620,0.90,0.00,0.00,0.30,0.00,0.00,,420,"3,432",220,"1,806",-,#VALUE!,#VALUE!,220,1080,-0.30,-0.50,0.00,0.00,0.00,0.00,95,100,-5.0,1.9,※,1,35,0.24,0,普通,突風コマ無効化,-,0,根性,1,4,近距離,単体,1,0.25,自身,自身,該当なし,自身,自身,All,All,27.9,-,-,-,瞬間型,ダメージカット(自身),瞬間型,自身,All,All,35,6.0,-,0,0,-,-,-,-,-,-,-,-
SPY×FAMILY,ダミアン・デズモンド,chara_spy_00301,DropSR,無,スペシャル,該当なし,-,-,202510010_SPY×FAMILY,SPY×FAMILYいいジャン祭,※,250,200,低コスト,90,10.0,0.0,3.8,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,0.0,-,#VALUE!,-,#VALUE!,-,-,-,750,-,-,-,-,-,0.00,,-,-,-,-,#VALUE!,-,-,#VALUE!,500,-,-,-,0.00,0.00,0.00,-,-,-,-,※,-,-,#VALUE!,,-,-,-,-,-,-,-,-,-,-,#VALUE!,タップしたコマ,タップしたコマ,-,タップしたコマ,味方,All,アタック,-,-,-,-,ハイブリッド型,攻撃力UP(アタック),ハイブリッド型,味方,All,アタック,20,4.0,-,0,0,-,-,-,-,-,-,-,-
ダンダダン,アクさらの愛 アイラ,chara_dan_00202,PremiumUR,緑,アタック,中距離,dageki_1,dageki_1,202510020_ダンダダン,ダンダダンいいジャン祭,※,480,600,中コスト,-150,5.0,25.0,9.5,370,7.4,0.0,0.0,0.0,195,3.9,0.0,0.00,0.0,630,12.6,0.0,2.5,0.0,-,-,1,1010,"8,254",6.7,3.4,1440,-0.20,0.00,-0.10,0.00,0.00,0.00,,1880,"15,365",1250,"10,243",-,#VALUE!,#VALUE!,1250,960,0.00,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,(中距離)特殊攻撃・投げ物・長物,2,45,0.39,0,速い,火傷ダメージ軽減,20,0,攻撃DOWNコマ無効化,-,4,中距離,単体,1,0.4,中距離,単体,1,0.4,敵,All,All,12.6,-,-,-,-,連続攻撃,-,敵,All,All,225,-,"34,570","2,945",0,-,-,-,-,-,-,-,-
ダンダダン,アイラ,chara_dan_00201,DropSR,青,サポート,近距離,dageki_2,-,202510020_ダンダダン,ダンダダンいいジャン祭,※,420,600,中コスト,-200,10.0,10.0,8.0,255,5.1,0.0,-0.5,0.0,135,2.7,0.0,-0.25,0.0,940,18.8,0.0,10.1,0.0,6.7,12.1,1,760,"5,253",5.1,2.5,1260,-0.40,0.00,0.00,0.00,0.00,0.00,,890,"6,151",590,"4,101",-,#VALUE!,#VALUE!,590,840,0.00,-0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,(近距離)素手,2,35,0.27,0,普通,突風コマ無効化,-,2,-,-,-,近距離,単体,1,0.28,自身と同じコマにいる味方,範囲(コマ)0,-,(コマ)0,味方,青,All,18.8,-,-,-,安定型,ダメージカット(青),安定型,味方,青,All,13,6.7,-,0,0,-,-,-,-,-,-,-,-
ダンダダン,招き猫 ターボババア,chara_dan_00301,DropSR,黄,ディフェンス,近距離,dageki_1,-,202510020_ダンダダン,ダンダダンいいジャン祭,※,350,200,低コスト,120,10.0,20.0,6.3,735,14.7,0.0,0.0,0.0,385,7.7,0.0,0.00,0.0,1440,28.8,0.0,14.6,0.0,9.7,19.1,1,2000,"13,825",13.3,6.7,1050,0.90,0.00,0.00,0.00,0.00,0.00,,700,"4,839",350,"2,419",-,#VALUE!,#VALUE!,350,700,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,(近距離)素手,1,35,0.16,0,普通,根性,-,2,-,-,-,近距離,単体,1,0.17,自身,自身,該当なし,自身のみ,自身,All,All,28.8,-,-,-,持続型,ダメージカット(自身),持続型,自身,All,All,8,9.7,-,0,0,-,-,-,-,-,-,-,-
