そのまま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脳死で元の関数を引っ張っただけ。元の関数が終点に対して曲げる関数なので正しい使い方ではないが、これまでの上昇傾向と同じにはなっている(ただし、どこかのタイミングで急激に上昇し始めてしまう),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
→こっちでいくになった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索詳細設計,,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,※獲得時、少数以下は切り捨てます。　,,,,,,,,,,,,,,探索画面表示,※少数第3位まで表示されます,,,,,,,,
,,2-2,10.000,2.952,2.170,エントリー①,12,8,2.00,2.00,17.00,13.00,35.00,26.00,141.00,104.00,283.00,208.00,425.00,312.00,460.00,338.00,3.93,,17.712,13.020,,,10,2.952,2.170,,0.196,0.205
,,2-3,11.000,3.163,2.383,エントリー②,14,9,3.00,2.00,18.00,14.00,37.00,28.00,151.00,114.00,303.00,228.00,455.00,343.00,492.00,371.00,4.27,,18.978,14.298,,,11,3.163,2.383,,0.211,0.213
,,2-4,12.000,3.388,2.602,エントリー②,16,10,3.00,2.00,20.00,15.00,40.00,31.00,162.00,124.00,325.00,249.00,487.00,374.00,527.00,405.00,4.61,,20.328,15.612,,,12,3.388,2.602,,0.225,0.219
,,2-5,13.000,3.626,2.828,エントリー②,18,11,3.00,2.00,21.00,16.00,43.00,33.00,174.00,135.00,348.00,271.00,522.00,407.00,565.00,440.00,4.96,,21.756,16.968,,,13,3.626,2.828,,0.238,0.226
,,2-6,14.000,3.876,3.059,エントリー②,19,12,3.00,3.00,23.00,18.00,46.00,36.00,186.00,146.00,372.00,293.00,558.00,440.00,604.00,476.00,5.32,,23.256,18.354,,,14,3.876,3.059,,0.250,0.231
,ラーメン赤猫,3-1,15.000,4.137,3.296,エントリー②,20,13,4.00,3.00,24.00,19.00,49.00,39.00,198.00,158.00,397.00,316.00,595.00,474.00,644.00,513.00,5.69,,24.822,19.776,,,15,4.137,3.296,,0.261,0.237
,,3-2,16.000,4.410,3.537,エントリー②,24,14,4.00,3.00,26.00,21.00,52.00,42.00,211.00,169.00,423.00,339.00,635.00,509.00,687.00,551.00,6.06,,26.460,21.222,,,16,4.410,3.537,,0.273,0.241
,,3-3,17.000,4.693,3.784,ライト,27,15,4.00,3.00,28.00,22.00,56.00,45.00,225.00,181.00,450.00,363.00,675.00,544.00,731.00,589.00,6.44,,28.158,22.704,,,17,4.693,3.784,,0.283,0.247
,"GLOW
オリジナルクエスト１",4-1,18.000,4.987,4.034,ライト,28,16,4.00,4.00,29.00,24.00,59.00,48.00,239.00,193.00,478.00,387.00,718.00,580.00,777.00,628.00,6.82,,29.922,24.204,,,18,4.987,4.034,,0.294,0.250
,,4-2,19.000,5.290,4.289,ライト,29,17,5.00,4.00,31.00,25.00,63.00,51.00,253.00,205.00,507.00,411.00,761.00,617.00,824.00,668.00,7.21,,31.740,25.734,,,19,5.290,4.289,,0.303,0.255
,,4-3,20.000,5.603,4.548,ライト,29,18,5.00,4.00,33.00,27.00,67.00,54.00,268.00,218.00,537.00,436.00,806.00,654.00,873.00,708.00,7.60,,33.618,27.288,,,20,5.603,4.548,,0.313,0.259
,ダンダダン,5-1,21.000,5.926,4.811,ライト,30,19,5.00,4.00,35.00,28.00,71.00,57.00,284.00,230.00,568.00,461.00,853.00,692.00,924.00,749.00,8.00,,35.556,28.866,,,21,5.926,4.811,,0.323,0.263
,,5-2,22.000,6.258,5.078,ライト,30,20,6.00,5.00,37.00,30.00,75.00,60.00,300.00,243.00,600.00,487.00,901.00,731.00,976.00,791.00,8.40,,37.548,30.468,,,22,6.258,5.078,,0.332,0.267
,,5-3,23.000,6.598,5.348,ミドル①,30,21,6.00,5.00,39.00,32.00,79.00,64.00,316.00,256.00,633.00,513.00,950.00,770.00,1029.00,834.00,8.81,,39.588,32.088,,,23,6.598,5.348,,0.340,0.270
,,5-4,24.000,6.947,5.621,ミドル①,31,22,6.00,5.00,41.00,33.00,83.00,67.00,333.00,269.00,666.00,539.00,1000.00,809.00,1083.00,876.00,9.22,,41.682,33.726,,,24,6.947,5.621,,0.349,0.273
,,5-5,25.000,7.305,5.898,ミドル①,31,23,7.00,5.00,43.00,35.00,87.00,70.00,350.00,283.00,701.00,566.00,1051.00,849.00,1138.00,919.00,9.63,,43.830,35.388,,,25,7.305,5.898,,0.358,0.277
,,5-6,26.000,7.671,6.177,ミドル①,31,24,7.00,6.00,46.00,37.00,92.00,74.00,368.00,296.00,736.00,592.00,1104.00,889.00,1196.00,963.00,10.05,,46.026,37.062,,,26,7.671,6.177,,0.366,0.279
,地獄楽,6-1,27.000,8.044,6.460,ミドル①,31,25,8.00,6.00,48.00,38.00,96.00,77.00,386.00,310.00,772.00,620.00,1158.00,930.00,1254.00,1007.00,10.47,,48.264,38.760,,,27,8.044,6.460,,0.373,0.283
,,6-2,28.000,8.426,6.746,ミドル①,31,26,8.00,6.00,50.00,40.00,101.00,80.00,404.00,323.00,808.00,647.00,1213.00,971.00,1314.00,1051.00,10.90,,50.556,40.476,,,28,8.426,6.746,,0.382,0.286
,,6-3,29.000,8.815,7.035,ミドル①,32,27,8.00,7.00,52.00,42.00,105.00,84.00,423.00,337.00,846.00,675.00,1269.00,1013.00,1374.00,1097.00,11.33,,52.890,42.210,,,29,8.815,7.035,,0.389,0.289
,,6-4,30.000,9.212,7.327,ミドル①,32,28,9.00,7.00,55.00,43.00,110.00,87.00,442.00,351.00,884.00,703.00,1326.00,1055.00,1436.00,1142.00,11.76,,55.272,43.962,,,30,9.212,7.327,,0.397,0.292
,,6-5,31.000,9.617,7.621,ミドル①,32,29,9.00,7.00,57.00,45.00,115.00,91.00,461.00,365.00,923.00,731.00,1384.00,1097.00,1499.00,1188.00,12.20,,57.702,45.726,,,31,9.617,7.621,,0.405,0.294
,,6-6,32.000,10.028,7.918,ミドル①,33,30,10.00,7.00,60.00,47.00,120.00,95.00,481.00,380.00,962.00,760.00,1444.00,1140.00,1564.00,1235.00,12.63,,60.168,47.508,,,32,10.028,7.918,,0.411,0.297
,タコピーの原罪,7-1,33.000,10.447,8.217,ミドル①,33,31,10.00,8.00,62.00,49.00,125.00,98.00,501.00,394.00,1002.00,788.00,1504.00,1183.00,1629.00,1281.00,13.08,,62.682,49.302,,,33,10.447,8.217,,0.419,0.299
,,7-2,34.000,10.873,8.519,ミドル①,33,32,10.00,8.00,65.00,51.00,130.00,102.00,521.00,408.00,1043.00,817.00,1565.00,1226.00,1695.00,1328.00,13.52,,65.238,51.114,,,34,10.873,8.519,,0.426,0.302
,,7-3,35.000,11.306,8.823,ミドル①,34,33,11.00,8.00,67.00,52.00,135.00,105.00,542.00,423.00,1085.00,847.00,1628.00,1270.00,1763.00,1375.00,13.97,,67.836,52.938,,,35,11.306,8.823,,0.433,0.304
,"GLOW
オリジナルクエスト2",8-1,36.000,11.745,9.130,ミドル①,35,34,11.00,9.00,70.00,54.00,140.00,109.00,563.00,438.00,1127.00,876.00,1691.00,1314.00,1831.00,1423.00,14.42,,70.470,54.780,,,36,11.745,9.130,,0.439,0.307
,,8-2,37.000,12.192,9.439,ミドル①,35,35,12.00,9.00,73.00,56.00,146.00,113.00,585.00,453.00,1170.00,906.00,1755.00,1359.00,1901.00,1472.00,14.87,,73.152,56.634,,,37,12.192,9.439,,0.447,0.309
,,8-3,38.000,12.645,9.751,ミドル①,35,36,12.00,9.00,75.00,58.00,151.00,117.00,606.00,468.00,1213.00,936.00,1820.00,1404.00,1971.00,1521.00,15.33,,75.870,58.506,,,38,12.645,9.751,,0.453,0.312
,チェンソーマン 一部,9-1,39.000,13.104,10.064,ミドル①,35,37,13.00,10.00,78.00,60.00,157.00,120.00,628.00,483.00,1257.00,966.00,1886.00,1449.00,2043.00,1569.00,15.78,,78.624,60.384,,,39,13.104,10.064,,0.459,0.313
,,9-2,40.000,13.570,10.380,ミドル②,36,38,13.00,10.00,81.00,62.00,162.00,124.00,651.00,498.00,1302.00,996.00,1954.00,1494.00,2116.00,1618.00,16.24,,81.420,62.280,,,40,13.570,10.380,,0.466,0.316
,,9-3,41.000,14.042,10.698,ミドル②,36,39,14.00,10.00,84.00,64.00,168.00,128.00,674.00,513.00,1348.00,1027.00,2022.00,1540.00,2190.00,1668.00,16.71,,84.252,64.188,,,41,14.042,10.698,,0.472,0.318
,,9-4,42.000,14.521,11.018,ミドル②,37,40,14.00,11.00,87.00,66.00,174.00,132.00,697.00,528.00,1394.00,1057.00,2091.00,1586.00,2265.00,1718.00,17.17,,87.126,66.108,,,42,14.521,11.018,,0.479,0.320
,,9-5,43.000,15.005,11.340,ミドル②,37,41,15.00,11.00,90.00,68.00,180.00,136.00,720.00,544.00,1440.00,1088.00,2160.00,1632.00,2340.00,1768.00,17.64,,90.030,68.040,,,43,15.005,11.340,,0.484,0.322
,,9-6,44.000,15.496,11.664,ミドル②,38,42,15.00,11.00,92.00,69.00,185.00,139.00,743.00,559.00,1487.00,1119.00,2231.00,1679.00,2416.00,1818.00,18.11,,92.976,69.984,,,44,15.496,11.664,,0.491,0.324
,魔都精兵のスレイブ,10-1,45.000,15.993,11.991,ミドル②,38,43,15.00,11.00,95.00,71.00,191.00,143.00,767.00,575.00,1535.00,1151.00,2302.00,1726.00,2493.00,1869.00,18.58,,95.958,71.946,,,45,15.993,11.991,,0.497,0.327
,,10-2,46.000,16.496,12.319,ミドル②,39,44,16.00,12.00,98.00,73.00,197.00,147.00,791.00,591.00,1583.00,1182.00,2375.00,1773.00,2572.00,1920.00,19.06,,98.976,73.914,,,46,16.496,12.319,,0.503,0.328
,,10-3,47.000,17.004,12.649,ミドル②,39,45,17.00,12.00,102.00,75.00,204.00,151.00,816.00,607.00,1632.00,1214.00,2448.00,1821.00,2652.00,1972.00,19.54,,102.024,75.894,,,47,17.004,12.649,,0.508,0.330
,,10-4,48.000,17.519,12.981,ミドル②,40,46,17.00,12.00,105.00,77.00,210.00,155.00,840.00,623.00,1681.00,1246.00,2522.00,1869.00,2732.00,2024.00,20.02,,105.114,77.886,,,48,17.519,12.981,,0.515,0.332
,,10-5,49.000,18.039,13.314,ミドル②,40,47,18.00,13.00,108.00,79.00,216.00,159.00,865.00,639.00,1731.00,1278.00,2597.00,1917.00,2813.00,2076.00,20.50,,108.234,79.884,,,49,18.039,13.314,,0.520,0.333
,,10-6,50.000,18.565,13.650,ミドル②,41,48,18.00,13.00,111.00,81.00,222.00,163.00,891.00,655.00,1782.00,1310.00,2673.00,1965.00,2895.00,2128.00,20.98,,111.390,81.900,,,50,18.565,13.650,,0.526,0.336
,トマトイプーのリコピン,11-1,51.000,19.096,13.987,ミドル②,41,49,19.00,13.00,114.00,83.00,229.00,167.00,916.00,671.00,1833.00,1342.00,2749.00,2014.00,2978.00,2181.00,21.47,,114.576,83.922,,,51,19.096,13.987,,0.531,0.337
,,11-2,52.000,19.633,14.326,ミドル②,41,50,19.00,14.00,117.00,85.00,235.00,171.00,942.00,687.00,1884.00,1375.00,2827.00,2062.00,3062.00,2233.00,21.95,,117.798,85.956,,,52,19.633,14.326,,0.537,0.339
,,11-3,53.000,20.176,14.667,ミドル②,41,51,20.00,14.00,121.00,88.00,242.00,176.00,968.00,704.00,1936.00,1408.00,2905.00,2112.00,3147.00,2288.00,22.44,,121.056,88.002,,,53,20.176,14.667,,0.543,0.341
,"GLOW
オリジナルクエスト3",12-1,54.000,20.724,15.010,ミドル②,42,52,20.00,15.00,124.00,90.00,248.00,180.00,994.00,720.00,1989.00,1440.00,2984.00,2161.00,3232.00,2341.00,22.94,,124.344,90.060,,,54,20.724,15.010,,0.548,0.343
,,12-2,55.000,21.277,15.354,ミドル②,42,53,21.00,15.00,127.00,92.00,255.00,184.00,1021.00,736.00,2042.00,1473.00,3063.00,2210.00,3318.00,2394.00,23.43,,127.662,92.124,,,55,21.277,15.354,,0.553,0.344
,,12-3,56.000,21.836,15.700,ミドル②,42,54,21.00,15.00,131.00,94.00,262.00,188.00,1048.00,753.00,2096.00,1507.00,3144.00,2260.00,3406.00,2448.00,23.92,,131.016,94.200,,,56,21.836,15.700,,0.559,0.346
,株式会社マジルミエ,13-1,57.000,22.400,16.047,ミドル②,43,55,22.00,16.00,134.00,96.00,268.00,192.00,1075.00,770.00,2150.00,1540.00,3225.00,2310.00,3493.00,2502.00,24.42,,134.400,96.282,,,57,22.400,16.047,,0.564,0.347
,,13-2,58.000,22.969,16.396,ミドル②,43,56,22.00,16.00,137.00,98.00,275.00,196.00,1102.00,787.00,2205.00,1574.00,3307.00,2361.00,3582.00,2557.00,24.92,,137.814,98.376,,,58,22.969,16.396,,0.569,0.349
,,13-3,59.000,23.543,16.747,ミドル②,43,57,23.00,16.00,141.00,100.00,282.00,200.00,1130.00,803.00,2260.00,1607.00,3390.00,2411.00,3672.00,2611.00,25.42,,141.258,100.482,,,59,23.543,16.747,,0.574,0.351
,,13-4,60.000,24.123,17.099,ミドル②,44,58,24.00,17.00,144.00,102.00,289.00,205.00,1157.00,820.00,2315.00,1641.00,3473.00,2462.00,3762.00,2667.00,25.92,,144.738,102.594,,,60,24.123,17.099,,0.580,0.352
,,13-5,61.000,24.708,17.453,ミドル②,44,59,24.00,17.00,148.00,104.00,296.00,209.00,1185.00,837.00,2371.00,1675.00,3557.00,2513.00,3853.00,2722.00,26.43,,148.248,104.718,,,61,24.708,17.453,,0.585,0.354
,,13-5,62.000,25.298,17.808,ミドル②,44,60,25.00,17.00,151.00,106.00,303.00,213.00,1214.00,854.00,2428.00,1709.00,3642.00,2564.00,3945.00,2777.00,26.94,,151.788,106.848,,,62,25.298,17.808,,0.590,0.355
,サマータイムレンダ,14-1,63.000,25.892,18.165,ミドル②,45,61,25.00,18.00,155.00,108.00,310.00,217.00,1242.00,871.00,2485.00,1743.00,3728.00,2615.00,4038.00,2832.00,27.44,,155.352,108.990,,,63,25.892,18.165,,0.594,0.357
,,14-2,64.000,26.492,18.524,ミドル②,47,62,26.00,18.00,158.00,111.00,317.00,222.00,1271.00,889.00,2543.00,1778.00,3814.00,2667.00,4131.00,2889.00,27.95,,158.952,111.144,,,64,26.492,18.524,,0.600,0.359
,,14-3,65.000,27.097,18.883,コア,49,63,27.00,18.00,162.00,113.00,325.00,226.00,1300.00,906.00,2601.00,1812.00,3901.00,2719.00,4226.00,2945.00,28.46,,162.582,113.298,,,65,27.097,18.883,,0.605,0.359
,,14-4,66.000,27.706,19.245,コア,51,64,27.00,19.00,166.00,115.00,332.00,230.00,1329.00,923.00,2659.00,1847.00,3989.00,2771.00,4321.00,3001.00,28.98,,166.236,115.470,,,66,27.706,19.245,,0.609,0.362
,,14-5,67.000,28.321,19.607,コア,51,65,28.00,19.00,169.00,117.00,339.00,235.00,1359.00,941.00,2718.00,1882.00,4078.00,2823.00,4417.00,3058.00,29.49,,169.926,117.642,,,67,28.321,19.607,,0.615,0.362
,,14-6,68.000,28.940,19.971,コア,53,66,28.00,19.00,173.00,119.00,347.00,239.00,1389.00,958.00,2778.00,1917.00,4167.00,2875.00,4514.00,3114.00,30.01,,173.640,119.826,,,68,28.940,19.971,,0.619,0.364
,怪獣８号,15-1,69.000,29.564,20.337,コア,54,67,29.00,20.00,177.00,122.00,354.00,244.00,1419.00,976.00,2838.00,1952.00,4257.00,2928.00,4611.00,3172.00,30.53,,177.384,122.022,,,69,29.564,20.337,,0.624,0.366
,,15-2,70.000,30.193,20.704,コア,55,68,30.00,20.00,181.00,124.00,362.00,248.00,1449.00,993.00,2898.00,1987.00,4347.00,2981.00,4709.00,3229.00,31.05,,181.158,124.224,,,70,30.193,20.704,,0.629,0.367
,,15-3,71.000,30.827,21.072,コア,56,69,30.00,21.00,184.00,126.00,369.00,252.00,1479.00,1011.00,2959.00,2022.00,4439.00,3034.00,4808.00,3286.00,31.57,,184.962,126.432,,,71,30.827,21.072,,0.634,0.368
,,15-4,72.000,31.465,21.442,コア,57,70,31.00,21.00,188.00,128.00,377.00,257.00,1510.00,1029.00,3020.00,2058.00,4530.00,3087.00,4907.00,3344.00,32.09,,188.790,128.652,,,72,31.465,21.442,,0.638,0.370
,,15-5,73.000,32.108,21.813,コア,58,71,32.00,21.00,192.00,130.00,385.00,261.00,1541.00,1047.00,3082.00,2094.00,4623.00,3141.00,5008.00,3402.00,32.61,,192.648,130.878,,,73,32.108,21.813,,0.643,0.371
,,15-6,74.000,32.755,22.185,コア,59,72,32.00,22.00,196.00,133.00,393.00,266.00,1572.00,1064.00,3144.00,2129.00,4716.00,3194.00,5109.00,3460.00,33.14,,196.530,133.110,,,74,32.755,22.185,,0.647,0.372
,"GLOW
オリジナルクエスト4",16-1,75.000,33.407,22.559,コア,59,73,33.00,22.00,200.00,135.00,400.00,270.00,1603.00,1082.00,3207.00,2165.00,4810.00,3248.00,5210.00,3518.00,33.67,,200.442,135.354,,,75,33.407,22.559,,0.652,0.374
,,16-2,76.000,34.064,22.934,コア,59,74,34.00,22.00,204.00,137.00,408.00,275.00,1635.00,1100.00,3270.00,2201.00,4905.00,3302.00,5313.00,3577.00,34.20,,204.384,137.604,,,76,34.064,22.934,,0.657,0.375
,,16-3,77.000,34.725,24.310,コア,59,75,34.00,24.00,208.00,145.00,416.00,291.00,1666.00,1166.00,3333.00,2333.00,5000.00,3500.00,5416.00,3791.00,,,208.350,145.860,,,77,34.725,24.310,,0.661,1.376
,【推しの子】,17-1,78.000,34.904,24.480,コア,59,2,34.00,24.00,209.00,146.00,418.00,293.00,1675.00,1175.00,3350.00,2350.00,5026.00,3525.00,5444.00,3818.00,,,209.424,146.880,,,78,34.904,24.480,,0.179,0.170
,,17-2,79.000,35.232,24.714,コア,59,3,35.00,24.00,211.00,148.00,422.00,296.00,1691.00,1186.00,3382.00,2372.00,5073.00,3558.00,5495.00,3854.00,,,211.392,148.284,,,79,35.232,24.714,,0.328,0.234
,,17-3,80.000,35.657,24.981,コア,59,4,35.00,24.00,213.00,149.00,427.00,299.00,1711.00,1199.00,3423.00,2398.00,5134.00,3597.00,5561.00,3896.00,134.00,97.00,213.942,149.886,,,80,35.657,24.981,,0.425,0.267
,2,17-1,81.000,36.160,25.272,コア,,5,36.00,25.00,216.00,151.00,433.00,303.00,1735.00,1213.00,3471.00,2426.00,5207.00,3639.00,5640.00,3942.00,,,,,,,81,36.160,25.272,,0.503,0.291
,,17-2,82.000,36.730,25.581,コア,,6,36.00,25.00,220.00,153.00,440.00,306.00,1763.00,1227.00,3526.00,2455.00,5289.00,3683.00,5729.00,3989.00,,,,,,,82,36.730,25.581,,0.570,0.309
,,17-3,83.000,37.361,25.907,コア,,7,37.00,25.00,224.00,155.00,448.00,310.00,1793.00,1243.00,3586.00,2487.00,5379.00,3730.00,5827.00,4040.00,245.00,133.00,,,,,83,37.361,25.907,,0.631,0.326
,3,17-1,84.000,38.047,26.246,コア,,8,38.00,26.00,228.00,157.00,456.00,314.00,1826.00,1259.00,3652.00,2519.00,5478.00,3779.00,5934.00,4093.00,,,,,,,84,38.047,26.246,,0.686,0.339
,,17-2,85.000,38.784,26.598,コア,,9,38.00,26.00,232.00,159.00,465.00,319.00,1861.00,1276.00,3723.00,2553.00,5584.00,3830.00,6049.00,4149.00,,,,,,,85,38.784,26.598,,0.737,0.352
,,17-3,86.000,39.568,26.961,コア,,10,39.00,26.00,237.00,161.00,474.00,323.00,1899.00,1294.00,3798.00,2588.00,5697.00,3882.00,6171.00,4205.00,318.00,152.00,,,,,86,39.568,26.961,,0.784,0.363
,4,17-1,87.000,40.397,27.334,コア,,11,40.00,27.00,242.00,164.00,484.00,328.00,1939.00,1312.00,3878.00,2624.00,5817.00,3936.00,6301.00,4264.00,,,,,,,87,40.397,27.334,,0.829,0.373
,,17-2,88.000,41.269,27.717,コア,,12,41.00,27.00,247.00,166.00,495.00,332.00,1980.00,1330.00,3961.00,2660.00,5942.00,3991.00,6437.00,4323.00,,,,,,,88,41.269,27.717,,0.872,0.383
,,17-3,89.000,42.181,28.108,コア,,13,42.00,28.00,253.00,168.00,506.00,337.00,2024.00,1349.00,4049.00,2698.00,6074.00,4047.00,6580.00,4384.00,377.00,165.00,,,,,89,42.181,28.108,,0.912,0.391
,5,17-1,90.000,43.132,28.508,コア,,14,43.00,28.00,258.00,171.00,517.00,342.00,2070.00,1368.00,4140.00,2736.00,6211.00,4105.00,6728.00,4447.00,,,,,,,90,43.132,28.508,,0.951,0.400
,,17-2,91.000,44.121,28.915,コア,,15,44.00,28.00,264.00,173.00,529.00,346.00,2117.00,1387.00,4235.00,2775.00,6353.00,4163.00,6882.00,4509.00,,,,,,,91,44.121,28.915,,0.989,0.407
,,17-3,92.000,45.145,29.520,コア,,16,45.00,29.00,270.00,177.00,541.00,354.00,2166.00,1416.00,4333.00,2833.00,6500.00,4250.00,7041.00,4604.00,426.00,203.00,,,,,92,45.145,29.520,,1.024,0.605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,メインクエスト名,クエストID-ステージID,,"積立コイン
（10分）",,"積立EXP
（10分）",,"積立コイン
（24時間）",,"積立EXP
（24時間）",,,,,,,,,,,,,,,,,,,,,,,,
,,,,そのまま,調整,そのまま,調整,そのまま,調整,そのまま,調整,,,,,,,,,,,,,,,,,,,,,,,
,チュートリアル,0-1,1.000,2.000,2.00,1.000,1.00,288.000,288.00,144.000,144.00,,,,,,,,,,,,,,,,,,,,,,,
,,0-2,2.000,2.000,2.00,1.000,1.00,288.000,288.00,144.000,144.00,,,,,,,,,,,,,,,,,,,,,,,
,SPY×FAMILY,1-1,3.000,2.000,2.000,1.000,1.000,288.000,288.000,144.000,144.000,,,,,,,,,,,,,,,,,,,,,,,
,,1-2,4.000,2.051,2.051,1.103,1.103,295.000,295.000,158.000,158.000,,,,,,,,,,,,,,,,,,,,,,,
,,1-3,5.000,2.145,2.145,1.244,1.244,308.000,308.000,179.000,179.000,,,,,,,,,,,,,,,,,,,,,,,
,,1-4,6.000,2.267,2.267,1.406,1.406,326.000,326.000,202.000,202.000,,,,,,,,,,,,,,,,,,,,,,,
,,1-5,7.000,2.411,2.411,1.581,1.581,347.000,347.000,227.000,227.000,,,,,,,,,,,,,,,,,,,,,,,
,,1-6,8.000,2.575,2.575,1.769,1.769,370.000,370.000,254.000,254.000,,,,,,,,,,,,,,,,,,,,,,,
,姫様”拷問”の時間です,2-1,9.000,2.756,2.756,1.965,1.965,396.000,396.000,282.000,282.000,,,,,,,,,,,,,,,,,,,,,,,
,,2-2,10.000,2.952,2.952,2.170,2.170,425.000,425.000,312.000,312.000,,,,,,,,,,,,,,,,,,,,,,,
,,2-3,11.000,3.163,3.163,2.383,2.383,455.000,455.000,343.000,343.000,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,12.000,3.388,3.388,2.602,2.602,487.000,487.000,374.000,374.000,,,,,,,,,,,,,,,,,,,,,,,
,,2-5,13.000,3.626,3.626,2.828,2.828,522.000,522.000,407.000,407.000,,,,,,,,,,,,,,,,,,,,,,,
,,2-6,14.000,3.876,3.876,3.059,3.059,558.000,558.000,440.000,440.000,,,,,,,,,,,,,,,,,,,,,,,
,ラーメン赤猫,3-1,15.000,4.137,4.137,3.296,3.296,595.000,595.000,474.000,474.000,,,,,,,,,,,,,,,,,,,,,,,
,,3-2,16.000,4.410,4.410,3.537,3.537,635.000,635.000,509.000,509.000,,,,,,,,,,,,,,,,,,,,,,,
,,3-3,17.000,4.693,4.693,3.784,3.784,675.000,675.000,544.000,544.000,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト１",4-1,18.000,4.987,4.987,4.034,4.034,718.000,718.000,580.000,580.000,,,,,,,,,,,,,,,,,,,,,,,
,,4-2,19.000,5.290,5.290,4.289,4.289,761.000,761.000,617.000,617.000,,,,,,,,,,,,,,,,,,,,,,,
,,4-3,20.000,5.603,5.603,4.548,4.548,806.000,806.000,654.000,654.000,,,,,,,,,,,,,,,,,,,,,,,
,ダンダダン,5-1,21.000,5.926,5.926,4.811,4.811,853.000,853.000,692.000,692.000,,,,,,,,,,,,,,,,,,,,,,,
,,5-2,22.000,6.258,6.258,5.078,5.078,901.000,901.000,731.000,731.000,,,,,,,,,,,,,,,,,,,,,,,
,,5-3,23.000,6.598,6.598,5.348,5.348,950.000,950.000,770.000,770.000,,,,,,,,,,,,,,,,,,,,,,,
,,5-4,24.000,6.947,6.947,5.621,5.621,1000.000,1000.000,809.000,809.000,,,,,,,,,,,,,,,,,,,,,,,
,,5-5,25.000,7.305,7.305,5.898,5.898,1051.000,1051.000,849.000,849.000,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,26.000,7.671,7.671,6.177,6.177,1104.000,1104.000,889.000,889.000,,,,,,,,,,,,,,,,,,,,,,,
,地獄楽,6-1,27.000,8.044,8.044,6.460,6.460,1158.000,1158.000,930.000,930.000,,,,,,,,,,,,,,,,,,,,,,,
,,6-2,28.000,8.426,8.426,6.746,6.746,1213.000,1213.000,971.000,971.000,,,,,,,,,,,,,,,,,,,,,,,
,,6-3,29.000,8.815,8.815,7.035,7.035,1269.000,1269.000,1013.000,1013.000,,,,,,,,,,,,,,,,,,,,,,,
,,6-4,30.000,9.212,9.212,7.327,7.327,1326.000,1326.000,1055.000,1055.000,,,,,,,,,,,,,,,,,,,,,,,
,,6-5,31.000,9.617,9.617,7.621,7.621,1384.000,1384.000,1097.000,1097.000,,,,,,,,,,,,,,,,,,,,,,,
,,6-6,32.000,10.028,10.028,7.918,7.918,1444.000,1444.000,1140.000,1140.000,,,,,,,,,,,,,,,,,,,,,,,
,タコピーの原罪,7-1,33.000,10.447,10.447,8.217,8.217,1504.000,1504.000,1183.000,1183.000,,,,,,,,,,,,,,,,,,,,,,,
,,7-2,34.000,10.873,10.873,8.519,8.519,1565.000,1565.000,1226.000,1226.000,,,,,,,,,,,,,,,,,,,,,,,
,,7-3,35.000,11.306,11.306,8.823,8.823,1628.000,1628.000,1270.000,1270.000,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト2",8-1,36.000,11.745,11.745,9.130,9.130,1691.000,1691.000,1314.000,1314.000,,参考資料,,,,,,,,,,,,,,,,,,,,,
,,8-2,37.000,12.192,12.192,9.439,9.439,1755.000,1755.000,1359.000,1359.000,,キャラの強化に必要なコイン,,,,,,,,,,,,,,,,,,,,,
,,8-3,38.000,12.645,12.645,9.751,9.751,1820.000,1820.000,1404.000,1404.000,,キャラ基本概要,,,,,,,,,,,,,,,,,,,,,
,チェンソーマン 一部,9-1,39.000,13.104,13.104,10.064,10.064,1886.000,1886.000,1449.000,1449.000,,URキャラのLv80,,,,必要日数,,,,,,,,,,,,,,,,,
,,9-2,40.000,13.570,13.570,10.380,10.380,1954.000,1954.000,1494.000,1494.000,,必要コイン数,,,"164,550",パスなし,パスあり,,,,,,,,,,,,,,,,
,,9-3,41.000,14.042,14.042,10.698,10.698,2022.000,2022.000,1540.000,1540.000,,元の24h獲得コイン,,,"5,000",32.91,16.46,,,,,,,,,,,,,,,,
,,9-4,42.000,14.521,14.521,11.018,11.018,2091.000,2091.000,1586.000,1586.000,,推しの子24h獲得コイン(そのまま),,,"5,289",31.11,15.56,,,,,,,,,,,,,,,,
