,chara_you_00201,_you1_advent,c_you_00201_you1_advent_Normal_Green,幼稚園WARS,ダグ,ダグ_you1_advent,Normal,Technical,Green,1000,1,32,0.6,100,,,,50,1.67,stop有:1回目 0.63,,3.17,"stop無:1回目 1.00
stop無:2回目 1.26
stop無:3回目 1.50
stop有:4回目 1.70",1回目の攻撃に合わせて攻撃DOWN10%(6秒間),4,,shageki_1,
,chara_you_00301,_you1_advent,c_you_00301_you1_advent_Normal_Colorless,幼稚園WARS,ハナ,ハナ_you1_advent,Normal,Attack,Colorless,1000,1,35,0.3,100,,,,50,1.77,stop有:1回目 0.7,,3.67,stop有 :1回目 2.2,200%の範囲攻撃,3,,dageki_1,
,enemy_you_00001,_you1_advent,e_you_00001_you1_advent_Boss_Colorless,幼稚園WARS,不良系金髪イケメン,暗殺者（近）_you1_advent,Boss,Defense,Colorless,10000,2,37,0.2,100,,,,100,1.27,stop有0.5,,-,-,,-,,zangeki_1,100%で小ノックバック
,enemy_you_00101,_you1_advent,e_you_00101_you1_advent_Boss_Colorless,幼稚園WARS,イケメンじゃない殺し屋,暗殺者（遠）_you1_advent,Boss,Attack,Colorless,10000,5,30,0.6,100,,,,100,1.27,0.56,,-,-,,-,,shageki_1,25%で中ノックバック
,chara_you_00001,_you1_advent,c_you_00001_you1_advent_Boss_Green,幼稚園WARS,元殺し屋の新人教諭 リタ,リタ_you1_advent,Boss,Attack,Green,10000,1,45,0.2,100,,,,100,1.34,stop有:1回目 0.45,,1.77,"stop無:1回目 0.72
stop無:2回目 0.88
stop有:3回目 1.12",1回目の攻撃に合わせて攻撃UP100%(5秒間),4,,dageki_1,
,chara_you_00201,_you1_advent,c_you_00201_you1_advent_Boss_Green,幼稚園WARS,ダグ,ダグ_you1_advent,Boss,Technical,Green,10000,1,32,0.6,100,,,,100,1.67,stop有:1回目 0.63,,3.17,"stop無:1回目 1.00
stop無:2回目 1.26
stop無:3回目 1.50
stop有:4回目 1.70",1回目の攻撃に合わせて攻撃DOWN10%(6秒間),4,,shageki_1,
,chara_you_00301,_you1_advent,c_you_00301_you1_advent_Boss_Green,幼稚園WARS,ハナ,ハナ_you1_advent,Boss,Attack,Green,10000,1,35,0.3,100,,,,100,1.77,stop有:1回目 0.7,,3.67,stop有 :1回目 2.2,300%の範囲攻撃,3,,dageki_1,
,chara_you_00101,_you1_advent,c_you_00101_you1_advent_Boss_Green,幼稚園WARS,ルーク,ルーク_you1_advent,Boss,Technical,Green,10000,1,40,0.26,100,,,,100,1.64,stop有:1回目 0.65,,3.57,"stop無:1回目 0.97
stop無:2回目 1.08
stop無:3回目 1.2
stop無:4回目 1.32
stop有:5回目 1.48",1回目の攻撃に合わせて5%の毒状態(18秒間),5,,dageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,enemy_glo_00001,_kim1_advent,e_glo_00001_kim1_advent_Normal_Yellow,GLOW,ファントム,ファントム_kim1_advent,Normal,Defense,Yellow,1000,0,40,0.22,100,0,0.23,単体,50,1.00,0.50,,,,,-,,dageki_1,20%の確率で小ノックバック
,chara_kim_00101,_kim1_advent,c_kim_00101_kim1_advent_Normal_Red,君のことが大大大大大好きな100人の彼女,花園 羽香里,花園羽香里_kim1_advent,Normal,Attack,Red,1000,1,,,100,0,0.35,範囲,50,1.23,stop有:1回目 0.25,,3.5,"stop無:1回目 1.11
stop無:2回目 1.33
stop無:3回目 1.53
stop無:4回目 1.75
stop有:5回目 1.93",10秒間自身の攻撃UP( 50%),4,,dageki_1,
,chara_kim_00301,_kim1_advent,c_kim_00301_kim1_advent_Normal_Yellow,君のことが大大大大大好きな100人の彼女,好本 静,好本 静_kim1_advent,Normal,Support,Yellow,1000,1,,,100,0,,,50,1.75,stop有:1回目 0.78,,3.6,stop無 :1回目 1.2,3秒間自身と一つ前のコマまでの味方の攻撃50%UP+5%回復,3,,dageki_1,
,enemy_glo_00001,_kim1_advent,e_glo_00001_kim1_advent_Boss_Red,GLOW,ファントム,ファントム_kim1_advent,Boss,Attack,Red,10000,1,35,0.22,100,0,0.23,範囲,100,1.00,0.50,,,,,-,,dageki_1,
,chara_kim_00001,_kim1_advent,c_kim_00001_kim1_advent_Boss_Red,君のことが大大大大大好きな100人の彼女,溢れる母性 花園 羽々里,花園羽々里_kim1_advent,Boss,Technical,Red,10000,1,,,100,0,,,100,1.3,stop有:1回目 0.67,,2.5,"stop無:1回目 0.63
stop無:2回目 0.8
stop無:3回目 0.99
stop無:4回目 1.2
stop有:5回目 1.60",20秒間攻撃DOWN20%,5,,dageki_1,
,chara_kim_00101,_kim1_advent,c_kim_00101_kim1_advent_Boss_Red,君のことが大大大大大好きな100人の彼女,花園 羽香里,花園羽香里_kim1_advent,Boss,Attack,Red,10000,1,,,100,0,,,100,1.23,stop有:1回目 0.25,,3.5,"stop無:1回目 1.11
stop無:2回目 1.33
stop無:3回目 1.53
stop無:4回目 1.75
stop有:5回目 1.93",5秒間自身の攻撃UP( 200%),4,,dageki_1,
,chara_kim_00201,_kim1_advent,c_kim_00201_kim1_advent_Boss_Red,君のことが大大大大大好きな100人の彼女,院田 唐音,院田唐音_kim1_advent,Boss,Technical,Red,10000,1,,,100,0,,,100,1.37,stop有:1回目 0.2,,2.4,stop無 :1回目 1.2,100%の確率で1秒間スタン+中ノックバック,6,,dageki_1,
,chara_kim_00301,_kim1_advent,c_kim_00301_kim1_advent_Boss_Yellow,君のことが大大大大大好きな100人の彼女,好本 静,好本 静_kim1_advent,Boss,Support,Yellow,10000,1,,,100,0,,,100,1.75,stop有:1回目 0.78,,3.6,stop無 :1回目 1.2,6秒間自身と一つ前のコマまでの味方の攻撃100%UP+10%回復+25%ダメージカット,3,,dageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,enemy_glo_00001,_hut1_advent,e_glo_00001_hut1_advent_Normal_Yellow,GLOW,ファントム,ファントム_hut1_advent,Normal,Attack,Yellow,1000,1,37,,100,0,,,50,1.00,0.50,,,,,-,,dageki_1,
,enemy_glo_00001,_hut1_advent,e_glo_00001_hut1_advent_Normal_Colorless,GLOW,ファントム,ファントム_hut1_advent,Normal,Defense,Colorless,1000,1,40,,100,0,,,50,1.00,0.50,,,,,-,ノックバック無効,dageki_1,
,enemy_hut_00001,_hut1_advent,e_hut_00001_hut1_advent_Normal_Yellow,ふつうの軽音部,鷹見 項希,鷹見 項希_hut1_advent,Normal,Attack,Yellow,1000,1,35,,100,0,,,50,1.37,stop有:0.51,,-,-,,-,,,
,chara_hut_00001,_hut1_advent,c_hut_00001_hut1_advent_Normal_Colorless,ふつうの軽音部,ひたむきギタリスト 鳩野 ちひろ,鳩野 ちひろ_hut1_advent,Normal,Defense,Colorless,1000,0,30,,100,0,,,50,1.47,stop有 :1回目 0.15,,2.8,stop有:1回目 0.87,,5,,dageki_1,
,chara_hut_00101,_hut1_advent,c_hut_00101_hut1_advent_Normal_Colorless,ふつうの軽音部,幸山 厘,幸山 厘_hut1_advent,Normal,Support,Colorless,1000,1,35,,100,0,,,50,1.58,stop有 :1回目 0.75,,2.58,"stop有:1回目 0.33
stop無:2回目 0.78
stop無:3回目 1.0
stop無:4回目 1.27
stop無:5回目 1.58",,3,,dageki_1,
,chara_hut_00201,_hut1_advent,c_hut_00201_hut1_advent_Normal_Colorless,ふつうの軽音部,内田 桃,内田 桃_hut1_advent,Normal,Technical,Colorless,1000,3,35,,100,0,,,50,1.2,stop有 :1回目 0.34,,2.84,"stop無:1回目 1.1
stop無:2回目 1.44
stop有:3回目 1.97",,6,,dageki_1,
,chara_hut_00301,_hut1_advent,c_hut_00301_hut1_advent_Normal_Yellow,ふつうの軽音部,藤井 彩目,藤井 彩目_hut1_advent,Normal,Attack,Yellow,1000,1,35,,100,0,,,50,1.33,stop有 :1回目 0.33,,2.42,"stop無:1回目 0.3
stop無:2回目 0.61
stop無:3回目 0.93
stop無:4回目 1.25
stop有:5回目 1.6",,4,,dageki_1,
,enemy_glo_00001,_hut1_advent,e_glo_00001_hut1_advent_Boss_Yellow,GLOW,ファントム,ファントム_hut1_advent,Boss,Attack,Yellow,10000,1,37,,100,0,,,100,1.00,0.50,,,,,-,,dageki_1,
,enemy_glo_00001,_hut1_advent,e_glo_00001_hut1_advent_Boss_Colorless,GLOW,ファントム,ファントム_hut1_advent,Boss,Defense,Colorless,10000,1,40,,100,0,,,100,1.00,0.50,,,,,-,ノックバック無効,dageki_1,
,enemy_hut_00001,_hut1_advent,e_hut_00001_hut1_advent_Boss_Yellow,ふつうの軽音部,鷹見 項希,鷹見 項希_hut1_advent,Boss,Attack,Yellow,10000,1,35,,100,0,,,100,1.37,stop有:0.51,,-,-,,-,,,
,chara_hut_00001,_hut1_advent,c_hut_00001_hut1_advent_Boss_Colorless,ふつうの軽音部,ひたむきギタリスト 鳩野 ちひろ,鳩野 ちひろ_hut1_advent,Boss,Defense,Colorless,10000,0,30,,100,0,,,100,1.47,stop有 :1回目 0.15,,2.8,stop有:1回目 0.87,,5,ノックバック無効,dageki_1,
,chara_hut_00101,_hut1_advent,c_hut_00101_hut1_advent_Boss_Yellow,ふつうの軽音部,幸山 厘,幸山 厘_hut1_advent,Boss,Attack,Yellow,10000,1,35,,100,0,,,100,1.58,stop有 :1回目 0.75,,2.58,"stop有:1回目 0.33
stop無:2回目 0.78
stop無:3回目 1.0
stop無:4回目 1.27
stop無:5回目 1.58",,5,,dageki_1,
,chara_hut_00201,_hut1_advent,c_hut_00201_hut1_advent_Boss_Colorless,ふつうの軽音部,内田 桃,内田 桃_hut1_advent,Boss,Technical,Colorless,10000,1,35,,100,0,,,100,1.2,stop有 :1回目 0.34,,2.84,"stop無:1回目 1.1
stop無:2回目 1.44
stop有:3回目 1.97",,5,,dageki_1,
,chara_hut_00301,_hut1_advent,c_hut_00301_hut1_advent_Boss_Yellow,ふつうの軽音部,藤井 彩目,藤井 彩目_hut1_advent,Boss,Attack,Yellow,10000,1,35,,100,0,,,100,1.33,stop有 :1回目 0.33,,2.42,"stop無:1回目 0.3
stop無:2回目 0.61
stop無:3回目 0.93
stop無:4回目 1.25
stop有:5回目 1.6",,4,,dageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
