作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ,ラベル,属性,キャラ立ち位置,ロール,通常攻撃モーション,攻撃射程,必殺ワザモーション,必殺ワザ発動有無,通常攻撃モーション,通常攻撃発生,必殺攻撃モーション,必殺攻撃発生,valid_start_date,valid_end_date,catch_copy_image_filename,ノーマル敵専用アイコン_ID,BOSS専用アイコン_ID,通常攻撃Asset,必殺ワザAsset
yuw,2.5次元の誘惑,00601,chara_yuw_00601,奥村 正宗,奥村 正宗,事実だけ言ってやる!!,SR,DropSR,黄,chara,ディフェンス,dageki_1,Short,-,00601,1.20,0.67,1.84,stop無: 1回目 0.68,2025/11/25 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00601.png,enemy_icon_chara_yuw_00601,boss_icon_chara_yuw_00601,chara_yuw_00601_normal,chara_yuw_00601_special
sur,魔都精兵のスレイブ,00001,chara_sur_00001,和倉 優希,和倉 優希,張り切っちゃうぜ！,R,PremiumR,緑,chara,サポート,dageki_2,Short,-,00001,1.17,stop有:1回目 0.30,2.80,stop無:1回目 2.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00001.png,enemy_icon_chara_sur_00001,boss_icon_chara_sur_00001,,chara_sur_00001_special
sur,魔都精兵のスレイブ,00101,chara_sur_00101,誇り高き魔都の剣姫 羽前京香,誇り高き魔都の剣姫 羽前 京香,乱れ山桜,UR,PremiumUR,緑,chara,アタック,zangeki_1,Middle,zangeki_1,00101,1.40,stop無:1回目 0.33,2.67,"stop無:1回目 0.40
stop無:2回目 0.60
stop無:3回目 0.80
stop無:4回目 0.90
stop無:5回目 1.03
stop有:6回目 1.57",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00101.png,enemy_icon_chara_sur_00101,boss_icon_chara_sur_00101,chara_sur_00101_normal,chara_sur_00101_special
sur,魔都精兵のスレイブ,00201,chara_sur_00201,東 日万凛,東 日万凛,武装小町,SR,PremiumSR,青,chara,アタック,shageki_1,Short,shageki_1,00201,1.47,stop無:1回目 0.37,2.67,"stop無:1回目 0.74
stop無:2回目 0.92
stop無:3回目 1.1
stop無:4回目 1.28
stop無:5回目 1.45
stop無:6回目 1.65
stop有:7回目 1.84",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00201.png,enemy_icon_chara_sur_00201,boss_icon_chara_sur_00201,,chara_sur_00101_special
sur,魔都精兵のスレイブ,00301,chara_sur_00301,駿河 朱々,駿河 朱々,玉体革命,SR,PremiumSR,黄,chara,ディフェンス,dageki_1,Short,dageki_2,00301,1.56,0.66,1.91,0.73,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00301.png,enemy_icon_chara_sur_00301,boss_icon_chara_sur_00301,chara_sur_00301_normal,chara_sur_00301_special
sur,魔都精兵のスレイブ,00401,chara_sur_00401,大川村 寧,大川村 寧,きっと見つける,SR,DropSR,無,chara,スペシャル,-,ー,-,00401,-,-,2.50,0,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00401.png,enemy_icon_chara_sur_00401,boss_icon_chara_sur_00401,,chara_sur_00401_special
sur,魔都精兵のスレイブ,00501,chara_sur_00501,出雲 天花,空間を操る六番組組長 出雲 天花,天御鳥命,UR,PremiumUR,黄,chara,テクニカル,dageki_1,Long,dageki_1,00501,1.71,stop有:1回目 0.93,2.67,stop有:1回目 1.53,2025/12/08 12:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00501.png,enemy_icon_chara_sur_00501,boss_icon_chara_sur_00501,,
sur,魔都精兵のスレイブ,00601,chara_sur_00601,東 八千穂,東 八千穂,東の辰刻,SSR,PremiumSSR,赤,chara,テクニカル,shageki_1,Middle,dageki_1,00601,1.64,stop有:1回目 0.75,3.34,stop有:1回目 1.2,2025/12/08 12:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00601.png,enemy_icon_chara_sur_00601,boss_icon_chara_sur_00601,,
sur,魔都精兵のスレイブ,00701,chara_sur_00701,和倉 青羽,和倉 青羽,弟について喋ってるでしょ,SR,DropSR,青,chara,アタック,dageki_1,Short,dageki_1,00701,1.07,0.28,2.01,"stop無:1回目 0.67
stop無:2回目 0.84
stop無:3回目 1
stop有:4回目 1.25",2025/12/08 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00701.png,enemy_icon_chara_sur_00701,boss_icon_chara_sur_00701,,
sur,魔都精兵のスレイブ,00801,chara_sur_00801,和倉優希（変身）,無窮の鎖 和倉 優希,隷架拳,SR,DropSR,黄,chara,ディフェンス,dageki_1,Short,dageki_1,00801,1.24,stop有:1回目 0.66,2.01,stop有:1回目 1.06,2025/12/08 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sur_00801.png,enemy_icon_chara_sur_00801,boss_icon_chara_sur_00801,,
sur,魔都精兵のスレイブ,00901,chara_sur_00901,山城 恋,万物を統べる総組長 山城 恋,万物を総該した無限宇宙の全一,UR,FestivalUR,青,chara,アタック,,Middle,,,1.17,stop有 : 0.43,2.92,stop有 : 1.31,実装未定,2970-01-01 11:59:59,catchcopy_character_chara_sur_00901.png,enemy_icon_chara_sur_00901,boss_icon_chara_sur_00901,,
ron,鴨乃橋ロンの禁断推理,00001,chara_ron_00001,鴨乃橋 ロン,鴨乃橋 ロン,今からそれを証明してみせる,SSR,PremiumSSR,青,chara,テクニカル,dageki_2,Middle,dageki_1,00001,1.67,stop有:1回目 0.92,2.74,"stop有:1回目 1.17
stop無:2回目 1.50
stop無:3回目 1.67
stop無:4回目 1.84
stop無:5回目 1.97",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_ron_00001.png,enemy_icon_chara_ron_00001,boss_icon_chara_ron_00001,chara_ron_00001_normal,chara_ron_00001_special
ron,鴨乃橋ロンの禁断推理,00101,chara_ron_00101,一色 都々丸,一色 都々丸,ピュアでマヌケな名探偵,R,PremiumR,青,chara,ディフェンス,dageki_2,Middle,dageki_1,00101,1.67,0.70,2.67,1.44,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_ron_00101.png,enemy_icon_chara_ron_00101,boss_icon_chara_ron_00101,chara_ron_00101_normal,chara_ron_00101_special
aha,阿波連さんははかれない,00001,chara_aha_00001,ライドウ,ライドウ,公園は皆のものだから,SR,PremiumSR,黄,chara,ディフェンス,dageki_2,Short,dageki_1,00001,1.60,0.67,2.67,1.05,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_aha_00001.png,enemy_icon_chara_aha_00001,boss_icon_chara_aha_00001,,chara_aha_00001_special
aha,阿波連さんははかれない,00101,chara_aha_00101,阿波連 れいな,阿波連 れいな,さっきはありがとう,SSR,PremiumSSR,黄,chara,サポート,dageki_1,Short,-,00101,1.27,stop有:1回目 0.46,3.17,stop無:1回目 2.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_aha_00101.png,enemy_icon_chara_aha_00101,boss_icon_chara_aha_00101,chara_aha_00101_normal,chara_aha_00101_special
tak,タコピーの原罪,00001,chara_tak_00001,ハッピー星からの使者 タコピー,ハッピー星からの使者 タコピー,笑ってもらえるように,UR,PremiumUR,黄,chara,ディフェンス,dageki_1,Short,-,00001,1.00,0.44,3.34,0.75,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_tak_00001.png,enemy_icon_chara_tak_00001,boss_icon_chara_tak_00001,chara_tak_00001_normal,chara_tak_00001_special
tak,タコピーの原罪,00101,chara_tak_00101,久世 しずか＆タコピー,選定中,,UR,PremiumUR,無,chara,,,,,,,,,,,,,,,,
tak,タコピーの原罪,00201,chara_tak_00201,雲母坂 まりな,選定中,,SR,DropSR,緑,chara,,,,,,,,,,,,,,,,
jig,地獄楽,00001,chara_jig_00001,がらんの画眉丸,がらんの画眉丸,忍法 火法師,UR,PremiumUR,赤,chara,テクニカル,dageki_1,Short,dageki_1,00001,1.17,stop有:1回目0.20,2.30,"stop有:1回目 0.08
stop有:2回目 0.90
stop有:3回目 1.50",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00001.png,enemy_icon_chara_jig_00001,boss_icon_chara_jig_00001,chara_jig_00001_normal,chara_jig_00001_special
jig,地獄楽,00101,chara_jig_00101,山田浅ェ門 佐切,山田浅ェ門 佐切,試一刀流 具足割,SSR,PremiumSSR,赤,chara,アタック,zangeki_1,Short,zangeki_1,00101,1.5,0.50,2.50,1.20,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00101.png,enemy_icon_chara_jig_00101,boss_icon_chara_jig_00101,chara_jig_00101_normal,chara_jig_00101_special
jig,地獄楽,00201,chara_jig_00201,杠,杠,忍法 線斬行 ,SSR,DropSSR,緑,chara,テクニカル,shageki_1,Middle,shageki_1,00201,1.67,stop有:1回目 1,2.56,stop有:1回目1.66,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00201.png,enemy_icon_chara_jig_00201,boss_icon_chara_jig_00201,chara_jig_00201_normal,chara_jig_00201_special
jig,地獄楽,00301,chara_jig_00301,山田浅ェ門 仙汰,山田浅ェ門 仙汰,僕を通して貰わないと,SR,PremiumSR,緑,chara,ディフェンス,zangeki_1,Short,zangeki_1,00301,1.80,stop有0.50,2.34,"stop無:1回目：0.35
stop無:2回目：0.50
stop無:3回目 0.62
stop無:4回目 0.78
stop有:5回目 1.00",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00301.png,enemy_icon_chara_jig_00301,boss_icon_chara_jig_00301,,chara_jig_00301_special
jig,地獄楽,00401,chara_jig_00401,賊王 亜左 弔兵衛,賊王 亜左 弔兵衛,オレの神もオレだ!!,UR,PremiumUR,無,chara,テクニカル,zangeki_1,Short,zangeki_1,00401,1.67,stop有:1回目0.50,2.67,stop有:1回目1.57,2026/01/16 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00401.png,enemy_icon_chara_jig_00401,boss_icon_chara_jig_00401,,
jig,地獄楽,00501,chara_jig_00501,山田浅ェ門 桐馬,山田浅ェ門 桐馬,兄さんは強いんだ,SSR,PremiumSSR,緑,chara,サポート,zangeki_1,Short,-,00501,1.6,stop有:1回目0.4,3.33,stop無:1.67,2026/01/16 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00501.png,enemy_icon_chara_jig_00501,boss_icon_chara_jig_00501,,
jig,地獄楽,00601,chara_jig_00601,民谷 巌鉄斎,民谷 巌鉄斎,真の不老不死だ!!,SR,DropSR,青,chara,ディフェンス,zangeki_1,Short,zangeki_1,00601,1.67,stop有:1回目0.6,2.67,stop有:1.5,2026/01/16 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00601.png,enemy_icon_chara_jig_00601,boss_icon_chara_jig_00601,,
jig,地獄楽,00701,chara_jig_00701,メイ,メイ,強イモ弱イモ ゼンブダイジ,SR,DropSR,無,chara,スペシャル,-,ー,-,00701,-,-,2.4,0,2026/01/16 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_jig_00701.png,enemy_icon_chara_jig_00701,boss_icon_chara_jig_00701,,
mag,株式会社マジルミエ,00001,chara_mag_00001,新人魔法少女 桜木 カナ,新人魔法少女 桜木 カナ,私は役に立てる,UR,PremiumUR,青,chara,アタック,shageki_1,Long,shageki_1,00001,1.77,stop有:1回目 0.92,2.33,"stop無:1回目 0.75
stop無:2回目 0.92
stop無:3回目 1.08
stop無:4回目 1.25
stop無:5回目 1.42
stop無:6回目 1.58",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_mag_00001.png,enemy_icon_chara_mag_00001,boss_icon_chara_mag_00001,chara_mag_00001_normal,chara_mag_00001_special
mag,株式会社マジルミエ,00101,chara_mag_00101,越谷 仁美,越谷 仁美,まずァ一発！,SR,PremiumSR,黄,chara,アタック,shageki_1,Middle,shageki_1,00101,1.90,0.84,2.67,1.50,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_mag_00101.png,enemy_icon_chara_mag_00101,boss_icon_chara_mag_00101,chara_mag_00101_normal,chara_mag_00101_special
mag,株式会社マジルミエ,00201,chara_mag_00201,土刃 メイ,絶対効率の体現者 土刃 メイ,これが仕事です,UR,PremiumUR,赤,chara,アタック,shageki_1,Long,dageki_1,,1.17,stop有:1回目 0.42,2.71,"stop有:1回目 0.38
stop無:2回目 1.55
stop無:3回目 1.8
stop無:4回目 2.1",2025/11/06 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_mag_00201,boss_icon_chara_mag_00201,,
mag,株式会社マジルミエ,00301,chara_mag_00301,葵 リリー,葵 リリー,笑って,SSR,PremiumSSR,緑,chara,ディフェンス,dageki_1,Middle,-,,1.6,stop有:0.6,2.5,stop無 1,2025/11/06 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_mag_00301,boss_icon_chara_mag_00301,,
mag,株式会社マジルミエ,00401,chara_mag_00401,槇野 あかね,槇野 あかね,花散一閃,SR,DropSR,赤,chara,テクニカル,zangeki_1,Short,zangeki_1,,1.31,stop有 :1回目 0.6,1.87,stop有 :1回目 0.62,2025/11/06 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_mag_00401,boss_icon_chara_mag_00401,,
mag,株式会社マジルミエ,00501,chara_mag_00501,重本 浩司,重本 浩司,心配いらんぞ,SR,DropSR,無,chara,スペシャル,-,,-,,-,-,2.34,0,2025/11/06 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_mag_00501,boss_icon_chara_mag_00501,,
dos,道産子ギャルはなまらめんこい,00001,chara_dos_00001,冬木 美波,冬木 美波,明日家来る？,SSR,PremiumSSR,青,chara,サポート,dageki_1,Long,dageki_1,00001,1.17,0.60,2.60,1.40,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dos_00001.png,enemy_icon_chara_dos_00001,boss_icon_chara_dos_00001,chara_dos_00001_normal,chara_dos_00001_special
dos,道産子ギャルはなまらめんこい,00101,chara_dos_00101,秋野 沙友理,秋野 沙友理,誰にも負けない,SSR,PremiumSSR,無,chara,スペシャル,-,ー,-,00101,-,-,4.84,0,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dos_00101.png,enemy_icon_chara_dos_00101,boss_icon_chara_dos_00101,,chara_dos_00101_special
sum,サマータイムレンダ,00001,chara_sum_00001,網代 慎平,網代 慎平,フカンしろ!!,R,PremiumR,青,chara,テクニカル,shageki_1,Long,shageki_1,00001,1.40,stop無:1回目 0.65,2.33,"stop無:1回目 0.75
stop無:2回目 0.93
stop無:3回目 1.15",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sum_00001.png,enemy_icon_chara_sum_00001,boss_icon_chara_sum_00001,chara_sum_00001_normal,chara_sum_00001_special
sum,サマータイムレンダ,00101,chara_sum_00101,影のウシオ 小舟 潮,影のウシオ 小舟 潮,守っちゃってね,UR,PremiumUR,青,chara,サポート,zangeki_1,Middle,-,00101,1.13,0.50,2.20,1.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sum_00101.png,enemy_icon_chara_sum_00101,boss_icon_chara_sum_00101,chara_sum_00101_normal,chara_sum_00101_special
sum,サマータイムレンダ,00201,chara_sum_00201,小舟 澪,小舟 澪,おかえり慎ちゃん!!,SR,PremiumSR,青,chara,アタック,dageki_1,Short,shageki_1,00201,2.37,stop有 :1回目 0.67,3.67,stop有 :1回目 1.70,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sum_00201.png,enemy_icon_chara_sum_00201,boss_icon_chara_sum_00201,chara_sum_00201_normal,chara_sum_00201_special
sum,サマータイムレンダ,00301,chara_sum_00301,南方 ひづる,選定中,,SSR,PremiumSSR,赤,chara,調整中,,,,00301,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_sum_00301.png,enemy_icon_chara_sum_00301,boss_icon_chara_sum_00301,,
sum,サマータイムレンダ,00401,chara_sum_00401,小舟 澪の影,選定中,,SR,DropSSR,黄,chara,,,,,,,,,,,,,,,,
sum,サマータイムレンダ,00501,chara_sum_00501,ハイネ＆シデ,選定中,,UR,FestivalUR,緑,chara,,,,,,,,,,,,,,,,
sum,サマータイムレンダ,00502,chara_sum_00502,ハイネ＆シデ(シデのみ),,,,,,chara,,,,,,,,,,,,,,,,
osh,【推しの子】,00001,chara_osh_00001,星野 アイ,B小町不動のセンター アイ,究極のアイドル,UR,FestivalUR,赤,chara,テクニカル,shageki_1,Middle,-,,1.60,stop有:1回目 0.43,3.24,stop無:1回目 1.83,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00001.png,enemy_icon_chara_osh_00001,boss_icon_chara_osh_00001,,
osh,【推しの子】,00101,chara_osh_00101,星野 アクア,復讐を誓う片星 星野 アクア,同じ轍を踏ませない,UR,PremiumUR,無,chara,スペシャル,-,ー,dageki_2,,-,-,2.34,0.67,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00101.png,enemy_icon_chara_osh_00101,boss_icon_chara_osh_00101,,
osh,【推しの子】,00102,chara_osh_00102,星野 アクア (東京ブレイド編ver.),選定中,,SR,DropSR,青,chara,ディフェンス,,,,,,,,,,,,,,,
osh,【推しの子】,00201,chara_osh_00201,星野 ルビー,星野 ルビー,憧れのアイドルへ!!,SSR,PremiumSSR,赤,chara,アタック,dageki_2,Short,-,,1.37,"stop有:1回目 0.30
stop有:2回目 0.60",3.00,stop無:1回目 1.66,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00201.png,enemy_icon_chara_osh_00201,boss_icon_chara_osh_00201,,
osh,【推しの子】,00202,chara_osh_00202,星野 ルビー（闇堕ち演技ver）,選定中,,SR,DropSR,無,chara,スペシャル,,,,,,,,,,,,,,,
osh,【推しの子】,00301,chara_osh_00301,MEMちょ,MEMちょ,バズらせのプロ,SSR,PremiumSSR,黄,chara,サポート,dageki_1,Short,-,,1.13,"stop無:1回目 0.18
stop無:1回目 0.35
stop無:1回目 0.52",3.33,stop無:1回目 1.78,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00301.png,enemy_icon_chara_osh_00301,boss_icon_chara_osh_00301,,
osh,【推しの子】,00401,chara_osh_00401,有馬 かな,有馬 かな,光はあるから,SSR,PremiumSSR,緑,chara,テクニカル,dageki_2,Short,dageki_2,,1.17,0.5,2.47,stop無:1回目 1.00,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00401.png,enemy_icon_chara_osh_00401,boss_icon_chara_osh_00401,,
osh,【推しの子】,00402,chara_osh_00402,有馬 かな (東京ブレイド編ver.),選定中,,UR,PremiumUR,青,chara,アタック,,,,,,,,,,,,,,,
osh,【推しの子】,00501,chara_osh_00501,黒川 あかね,黒川 あかね,あっ　もうカメラ回ってる？,SSR,PremiumSSR,青,chara,テクニカル,dageki_1,Short,dageki_1,,1.06,0.3,2.67,1.78,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00501.png,enemy_icon_chara_osh_00501,boss_icon_chara_osh_00501,,
osh,【推しの子】,00502,chara_osh_00502,黒川 あかね (東京ブレイド編ver.),選定中,,UR,PremiumUR,黄,chara,サポート,,,,,,,,,,,,,,,
osh,【推しの子】,00601,chara_osh_00601,ぴえヨン,ぴえヨン,ぴえヨンブートダンス,SR,DropSR,緑,chara,ディフェンス,dageki_1,Short,dageki_2,,1.10,"stop無:1回目 0.28
stop無:2回目 0.70",1.90,"stop無:1回目 0.50
stop無:2回目 0.83
stop無:3回目 1.16
stop無:4回目 1.50",2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00601.png,enemy_icon_chara_osh_00601,boss_icon_chara_osh_00601,,
osh,【推しの子】,00701,chara_osh_00701,雨宮 吾郎,雨宮 吾郎,君の奴隷(ファン)だ,SR,DropSR,無,chara,スペシャル,-,,,,-,-,2.14,stop無:0.6,2026-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_chara_osh_00701.png,enemy_icon_chara_osh_00701,boss_icon_chara_osh_00701,,
osh,【推しの子】,00801,chara_osh_00801,斉藤 ミヤコ,斉藤 ミヤコ,推さない 駆けない 喋らない！,SSR,PremiumSSR,無,chara,スペシャル,-,,,,-,-,3,stop無 : 0.66,ハーフアニバ想定,2970-01-01 11:59:59,catchcopy_character_chara_osh_00801.png,enemy_icon_chara_osh_00801,boss_icon_chara_osh_00801,,
you,幼稚園WARS,00001,chara_you_00001,リタ,元殺し屋の新人教諭 リタ,お遊戯の時間です ,UR,PremiumUR,赤,chara,アタック,dageki_1,Middle,shageki_1,,1.34,stop有:1回目 0.45,1.77,"stop無:1回目 0.72
stop無:2回目 0.88
stop有:3回目 1.12",2026-02-02 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_you_00001.png,enemy_icon_chara_you_00001,boss_icon_chara_you_00001,,
you,幼稚園WARS,00002,chara_you_00002,リタ（ドレスアップ）,選定中,選定中,SR,DropSR,赤,chara,アタック,,,,,,,,,,,,,,,
you,幼稚園WARS,00101,chara_you_00101,ルーク,ルーク,さよならのお時間だ,SSR,PremiumSSR,黄,chara,テクニカル,dageki_1,Short,shageki_1,,1.64,stop有:1回目 0.65,3.57,"stop無:1回目 0.97
stop無:2回目 1.08
stop無:3回目 1.2
stop無:4回目 1.32
stop有:5回目 1.48",2026-02-02 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_you_00101.png,enemy_icon_chara_you_00101,boss_icon_chara_you_00101,,
you,幼稚園WARS,00201,chara_you_00201,ダグ,ダグ,これで貸しはチャラだ ,SR,DropSR,緑,chara,テクニカル,shageki_1,Middle,shageki_1,,1.67,stop有:1回目 0.63,3.17,"stop無:1回目 1.00
stop無:2回目 1.26
stop無:3回目 1.50
stop有:4回目 1.70",2026-02-02 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_you_00201.png,enemy_icon_chara_you_00201,boss_icon_chara_you_00201,,
you,幼稚園WARS,00301,chara_you_00301,ハナ,ハナ,大丈夫だ,SR,DropSR,青,chara,アタック,dageki_1,Short,shageki_1,,1.77,stop有:1回目 0.7,3.67,stop有 :1回目 2.2,2026-02-02 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_you_00301.png,enemy_icon_chara_you_00301,boss_icon_chara_you_00301,,
kim,君のことが大大大大大好きな100人の彼女,00001,chara_kim_00001,花園羽々里,溢れる母性 花園 羽々里,私と付き合ってちょうだい!!,UR,PremiumUR,青,chara,ディフェンス,dageki_1,,dageki_1,,1.3,stop有:1回目 0.67,2.5,"stop無:1回目 0.63
stop無:2回目 0.8
stop無:3回目 0.99
stop無:4回目 1.2
stop有:5回目 1.60",2026/02中旬,2970-01-01 11:59:59,catchcopy_character_chara_kim_00001.png,enemy_icon_chara_kim_00001,boss_icon_chara_kim_00001,,
kim,君のことが大大大大大好きな100人の彼女,00101,chara_kim_00101,花園羽香里,花園 羽香里,付き合ってください……！,SSR,PremiumSSR,緑,chara,アタック,dageki_1,,dageki_1,,1.23,stop有:1回目 0.25,3.5,"stop無:1回目 1.11
stop無:2回目 1.33
stop無:3回目 1.53
stop無:4回目 1.75
stop有:5回目 1.93",2026/02中旬,2970-01-01 11:59:59,catchcopy_character_chara_kim_00101.png,enemy_icon_chara_kim_00101,boss_icon_chara_kim_00101,,
kim,君のことが大大大大大好きな100人の彼女,00201,chara_kim_00201,院田唐音,院田 唐音,付き合ってください……！,SSR,PremiumSSR,赤,chara,テクニカル,dageki_1,Short,dageki_1,,1.37,stop有:1回目 0.2,2.4,stop無 :1回目 1.2,2026/02中旬,2970-01-01 11:59:59,catchcopy_character_chara_kim_00201.png,enemy_icon_chara_kim_00201,boss_icon_chara_kim_00201,,
kim,君のことが大大大大大好きな100人の彼女,00301,chara_kim_00301,好本 静,好本 静,「好きです」,SSR,PremiumSSR,黄,chara,サポート,dageki_1,Middle,-,,1.75,stop有:1回目 0.78,3.6,stop無 :1回目 1.2,2026/02中旬,2970-01-01 11:59:59,catchcopy_character_chara_kim_00301.png,enemy_icon_chara_kim_00301,boss_icon_chara_kim_00301,,
hut,ふつうの軽音部,00001,chara_hut_00001,鳩野 ちひろ,ひたむきギタリスト 鳩野 ちひろ,いつか私たちの演奏で,UR,PremiumUR,緑,chara,ディフェンス,dageki_1,,dageki_1,,1.47,stop有 :1回目 0.15,2.8,stop有:1回目 0.87,2026/03上旬,2970-01-01 11:59:59,catchcopy_character_chara_hut_00001.png,enemy_icon_chara_hut_00001,boss_icon_chara_hut_00001,,
hut,ふつうの軽音部,00101,chara_hut_00101,幸山 厘,幸山 厘,はとちゃん あなたは神,SSR,PremiumSSR,青,chara,サポート,dageki_1,Middle,dageki_1,,1.58,stop有 :1回目 0.75,2.58,"stop有:1回目 0.33
stop無:2回目 0.78
stop無:3回目 1.0
stop無:4回目 1.27
stop無:5回目 1.58",2026/03上旬,2970-01-01 11:59:59,catchcopy_character_chara_hut_00101.png,enemy_icon_chara_hut_00101,boss_icon_chara_hut_00101,,
hut,ふつうの軽音部,00201,chara_hut_00201,内田 桃,内田 桃,どれだけ未熟でも,SR,DropSR,黄,chara,テクニカル,dageki_1,Long,dageki_1,,1.2,stop有 :1回目 0.34,2.84,"stop無:1回目 1.1
stop無:2回目 1.44
stop有:3回目 1.97",2026/03上旬,2970-01-01 11:59:59,catchcopy_character_chara_hut_00201.png,enemy_icon_chara_hut_00201,boss_icon_chara_hut_00201,,
hut,ふつうの軽音部,00301,chara_hut_00301,藤井 彩目,藤井 彩目,かましたらなあかんやろ！,SR,DropSR,赤,chara,アタック,dageki_1,Middle,dageki_1,,1.33,stop有 :1回目 0.33,2.42,"stop無:1回目 0.3
stop無:2回目 0.61
stop無:3回目 0.93
stop無:4回目 1.25
stop有:5回目 1.6",2026/03上旬,2970-01-01 11:59:59,catchcopy_character_chara_hut_00301.png,enemy_icon_chara_hut_00301,boss_icon_chara_hut_00301,,
rur,ルリドラゴン,00001,chara_rur_00001,青木 瑠璃,監修NG,,UR,PremiumUR,青,chara,テクニカル,,,,,,,,,ハーフアニバ想定,2970-01-01 11:59:59,catchcopy_character_chara_rur_00001.png,enemy_icon_chara_rur_00001,boss_icon_chara_rur_00001,,
hyp,ハイパーインフレーション,00001,chara_hyp_00001,ルーク,ルーク,カネが欲しいッ!!,SSR,DropSSR,緑,chara,サポート,dageki_1,Short,-,,1.57,stop有 :1回目 0.45,2.45,stop無:1回目 0.85,ハーフアニバ想定,2970-01-01 11:59:59,catchcopy_character_chara_hyp_00001.png,enemy_icon_chara_hyp_00001,boss_icon_chara_hyp_00001,,
gam,ゲーミングお嬢様,00001,chara_gam_00001,祥龍院隆子,祥龍院 隆子,お嬢様は”完璧”であるべき,SSR,PremiumSSR,黄,chara,アタック,dageki_1,Short,dageki_1,,1.08,stop有 : 0.55,3.45,stop有 : 0.73,ハーフアニバ想定,2970-01-01 11:59:59,catchcopy_character_chara_gam_00001.png,enemy_icon_chara_gam_00001,boss_icon_chara_gam_00001,,
ara,アラガネの子,00001,chara_ara_00001,灰（アラガネの子）,灰,金剛石 煌反閃転,SR,DropSR,緑,chara,アタック,zangeki_1,Middle,-,,1.37,stop有 :1回目 0.3,2.67,stop有 : 0.7,ハーフアニバ想定,2970-01-01 11:59:59,catchcopy_character_chara_ara_00001.png,enemy_icon_chara_ara_00001,boss_icon_chara_ara_00001,,
