enemy_character_id,name_ja,series,is_phantomized,variant_count,hp_avg,hp_min,hp_max,hp_rank_in_series,hp_pct_global,atk_avg,atk_min,atk_max,atk_rank_in_series,atk_pct_global,spd_avg,spd_min,spd_max,spd_rank_in_series,spd_pct_global,wd_avg,wd_min,wd_max,wd_rank_in_series,wd_pct_global,bp_avg,bp_min,bp_max,bp_rank_in_series,bp_pct_global,series_chars_total,global_chars_total
chara_sur_00801,無窮の鎖 和倉 優希,sur,1,5,62000.0,10000,100000,6,74.1,300.0,300,300,8,58.7,38.8,32,45,6,67.8,0.232,0.23,0.24,8,49.7,220.0,100,500,3,62.9,11,144
chara_sur_00901,万物を統べる総組長 山城 恋,sur,1,5,10000.0,10000,10000,10,21.7,300.0,300,300,8,58.7,30.8,30,32,10,23.8,0.39,0.39,0.39,10,9.8,260.0,100,500,2,70.6,11,144
e_sur_00101_tutorial,誇り高き魔都の剣姫 羽前 京香,sur,1,1,5000.0,5000,5000,11,7.0,100.0,100,100,11,14.0,34.0,34,34,9,42.7,0.2,0.2,0.2,4,61.5,50.0,50,50,11,11.9,11,144
enemy_sur_00001,和倉 青羽,sur,1,9,310000.0,10000,1200000,1,86.7,411.1,100,1000,4,72.7,49.4,45,60,1,88.8,0.273,0.24,0.3,9,26.6,91.0,1,500,9,23.1,11,144
chara_tak_00001,ハッピー星からの使者 タコピー,tak,1,4,10000.0,10000,10000,1,21.7,250.0,100,300,1,53.8,26.8,25,32,1,7.7,0.173,0.17,0.18,1,79.0,375.0,300,400,1,88.8,1,144
enemy_you_00001,不良系金髪イケメン,you,0,7,6143.0,1000,10000,5,15.4,97.1,80,100,6,13.3,37.0,37,37,3,62.2,0.2,0.2,0.2,1,61.5,93.0,50,100,5,24.5,6,144
enemy_you_00101,イケメンじゃない殺し屋,you,0,6,5500.0,1000,10000,6,12.6,100.0,100,100,5,14.0,30.0,30,30,6,14.7,0.51,0.4,0.6,6,1.4,92.0,50,100,6,23.8,6,144
chara_you_00001,元殺し屋の新人教諭 リタ,you,1,7,14429.0,1000,50000,3,37.8,271.4,100,500,4,57.3,45.0,45,45,1,81.8,0.281,0.2,0.34,4,25.2,207.0,50,300,1,61.5,6,144
chara_you_00101,ルーク,you,1,4,30000.0,10000,50000,1,50.3,400.0,100,500,1,70.6,40.0,40,40,2,71.3,0.26,0.26,0.26,3,30.8,200.0,100,300,2,53.1,6,144
chara_you_00201,ダグ,you,1,7,14429.0,1000,50000,3,37.8,328.6,100,500,3,65.7,32.4,32,35,5,32.9,0.433,0.36,0.6,5,5.6,179.0,50,300,3,46.2,6,144
chara_you_00301,ハナ,you,1,8,17750.0,1000,50000,2,41.3,350.0,100,500,2,66.4,35.0,35,35,4,51.7,0.244,0.16,0.29,2,40.6,169.0,50,300,4,43.4,6,144
chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,yuw,1,10,38000.0,10000,50000,6,60.1,400.0,100,500,1,70.6,33.6,30,34,1,41.3,0.24,0.24,0.24,3,44.1,190.0,100,1000,3,51.7,7,144
chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,yuw,1,7,38571.0,10000,50000,5,60.8,242.9,100,300,7,51.0,29.0,29,29,3,13.3,0.25,0.25,0.25,5,36.4,100.0,100,100,4,27.3,7,144
chara_yuw_00201,羽生 まゆり,yuw,1,4,40250.0,1000,100000,4,62.2,250.0,100,300,6,53.8,27.0,27,27,6,9.1,0.26,0.26,0.26,6,30.8,100.0,100,100,4,27.3,7,144
chara_yuw_00301,勇気を纏うコスプレ 乃愛,yuw,1,5,42000.0,10000,50000,2,63.6,260.0,100,300,4,55.2,29.0,29,29,3,13.3,0.248,0.23,0.26,4,39.2,420.0,100,500,1,93.0,7,144
chara_yuw_00401,伝えたいウチの想い 喜咲 アリア,yuw,1,5,42000.0,10000,50000,2,63.6,260.0,100,300,4,55.2,30.0,30,30,2,14.7,0.17,0.17,0.17,1,81.1,100.0,100,100,4,27.3,7,144
chara_yuw_00501,753♡,yuw,1,3,53333.0,10000,100000,1,69.9,300.0,100,500,2,58.7,27.3,26,28,5,9.8,0.3,0.3,0.3,7,19.6,83.0,50,100,7,21.7,7,144
chara_yuw_00601,奥村 正宗,yuw,1,7,32857.0,10000,50000,7,56.6,271.4,100,500,3,57.3,25.7,25,30,7,6.3,0.193,0.19,0.21,2,69.9,400.0,100,1000,2,90.9,7,144
