対応テーブル,運営仕様書名,フォルダパス
MstStageEventReward,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstStageEventReward,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstStageEventReward,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstStageEventReward,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstStageEventSetting,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstStageEventSetting,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstStageEventSetting,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstStageEventSetting,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstStageEventSetting,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstStageClearTimeReward,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstStageClearTimeReward,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstStageClearTimeReward,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstStageClearTimeReward,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstStageClearTimeReward,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstStageClearTimeReward,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstStageEndCondition,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstStageEndCondition,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstStageEndCondition,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstStageEndCondition,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstStageEndCondition,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstStageEndCondition,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattle,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattle,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstAdventBattleI18n,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattleI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstAdventBattleI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstAdventBattleClearReward,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattleRank,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattleReward,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattleReward,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstAdventBattleRewardGroup,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAdventBattleRewardGroup,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstInGame,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstInGame,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstInGame,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstInGame,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstInGame,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstInGame,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstInGame,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstInGameI18n,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstInGameI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstInGameI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstInGameI18n,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstInGameI18n,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstInGameI18n,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstInGameI18n,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstInGameI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstInGameSpecialRule,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstInGameSpecialRule,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstInGameSpecialRuleUnitStatus,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstPage,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstPage,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstPage,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstPage,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstPage,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstPage,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstPage,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstKomaLine,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstKomaLine,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstKomaLine,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstKomaLine,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstKomaLine,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstKomaLine,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstKomaLine,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstEnemyCharacter,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstEnemyCharacter,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstEnemyCharacter,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstEnemyCharacter,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstEnemyCharacter,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstEnemyCharacter,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstEnemyCharacter,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstEnemyCharacter,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstEnemyCharacter,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstEnemyCharacter,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstEnemyCharacterI18n,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstEnemyCharacterI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstEnemyCharacterI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstEnemyCharacterI18n,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstEnemyCharacterI18n,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstEnemyCharacterI18n,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstEnemyCharacterI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstEnemyCharacterI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstEnemyCharacterI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstEnemyCharacterI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstEnemyCharacterI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstEnemyStageParameter,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstEnemyStageParameter,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstEnemyStageParameter,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstEnemyStageParameter,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstEnemyStageParameter,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstEnemyStageParameter,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstEnemyStageParameter,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstEnemyStageParameter,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstEnemyStageParameter,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstEnemyStageParameter,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstEnemyOutpost,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstEnemyOutpost,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstEnemyOutpost,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstEnemyOutpost,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstEnemyOutpost,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstEnemyOutpost,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAutoPlayerSequence,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
