テーブル,列,パターン,説明,提案パターン,提案理由
MstItem,id,memory_chara_yuw_[連番],"カテゴリ別連番（カテゴリ: chara_yuw, 範囲: 501～601, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_sur_[連番],"カテゴリ別連番（カテゴリ: chara_sur, 範囲: 701～801, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_osh_[連番],"カテゴリ別連番（カテゴリ: chara_osh, 範囲: 601～601, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_jig_[連番],"カテゴリ別連番（カテゴリ: chara_jig, 範囲: 601～701, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_you_[連番],"カテゴリ別連番（カテゴリ: chara_you, 範囲: 201～301, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_hut_[連番],"カテゴリ別連番（カテゴリ: chara_hut, 範囲: 201～301, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_hyp_[連番],"カテゴリ別連番（カテゴリ: chara_hyp, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_ara_[連番],"カテゴリ別連番（カテゴリ: chara_ara, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItemRarityTrade,id,rarity_trade_[連番],"プレフィックス_rarity_trade + 通算連番（範囲: 1～4, 件数: 4）",item_rarity_trade_[from_rarity]_to_[to_rarity],交換元と交換先のレアリティをIDに含める。レアリティの組み合わせで一意に決まるため、通算連番は不要。
MstItemTransition,id,[連番],"数字のみの通算連番（範囲: 1～10041, 件数: 85）",item_transition_[from_item_id]_to_[to_item_id],アイテム変換元と変換先のアイテムIDをIDに含める。変換ルールごとに一意に決まるため、通算連番は不要。
MstMissionAchievement,id,achievement_2_[連番],"プレフィックス_achievement_2 + 通算連番（範囲: 1～100, 件数: 100）",mission_achievement_[criterion_type]_[連番],達成条件タイプ（criterion_type）ごとに連番を振る。バージョン番号（achievement_2_）は削除し、条件タイプで分類することで、より意味のあるIDとする。
MstMissionAchievementDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",mission_achievement_dependency_[parent_id]_[child_id],依存関係を表すテーブルなので、親IDと子IDの組み合わせをIDとする。通算連番は不要。
MstMissionDailyBonus,id,daily_bonus_[連番],"プレフィックス_daily_bonus + 通算連番（範囲: 1～7, 件数: 7）",mission_daily_bonus_[login_day_count],"ログイン日数（login_day_count）をIDに含める。日数ごとに一意なので通算連番は不要。例: mission_daily_bonus_1, mission_daily_bonus_2, ..."
MstMissionEventDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",mission_event_dependency_[parent_id]_[child_id],依存関係を表すテーブルなので、親IDと子IDの組み合わせをIDとする。通算連番は不要。
MstMissionLimitedTerm,id,limited_term_[連番],"プレフィックス_limited_term + 通算連番（範囲: 1～48, 件数: 48）",mission_limited_term_[作品ID]_[イベントID]_[連番],作品IDとイベントIDをベースにした採番。既存のmst_mission_reward_group_id（例: kai_00001_limited_term_1）と同様の構造。イベントごとに連番を振ることで、過去の最大値を考慮する必要がなくなる。
MstMissionReward,id,mission_reward_[連番],"プレフィックス_mission_reward + 通算連番（範囲: 1～100, 件数: 100）",[group_id],既存のgroup_idカラムの値をそのままIDとして使用。group_idは既に意味のある識別子（例: daily_bonus_reward_1_1）なので、通算連番は不要。各グループごとに一意のIDが割り当てられる。
MstNgWord,id,ng_[連番],"プレフィックス_ng + 通算連番（範囲: 1～100, 件数: 100）",ng_word_[word_hash],ワードのハッシュ値または単語そのものをIDとする。通算連番ではなく、単語ベースのIDにすることで、重複を避けやすくする。
MstOutpostEnhancement,id,enhance_1_[連番],"プレフィックス_enhance_1 + 通算連番（範囲: 3～8, 件数: 6）",outpost_enhancement_[outpost_type]_[enhancement_type]_[連番],拠点タイプと強化タイプごとに連番を振る。バージョン番号（enhance_1_）は削除し、より明確な構造にする。
MstPack,id,start_chara_pack_[連番],"カテゴリ別連番（カテゴリ: chara_pack, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstPack,id,start_item_pack_[連番],"カテゴリ別連番（カテゴリ: item_pack, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstPackContent,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",pack_content_[pack_id]_[連番],パックIDごとに連番を振る。各パックごとにコンテンツが管理されるため、パック別の連番が適切。
MstPvpDummy,id,pvp_dummy_[連番],"プレフィックス_pvp_dummy + 通算連番（範囲: 13～112, 件数: 100）",pvp_dummy_[rank_tier]_[連番],ランクティアごとに連番を振る。ティアごとにダミーが管理されるため、ティア別の連番が適切。
MstPvpRewardGroup,id,default_reward_ranking_[連番],"カテゴリ別連番（カテゴリ: reward_ranking, 範囲: 1～8, 件数: 8）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstPvpRewardGroup,id,default_reward_rank_[連番],"カテゴリ別連番（カテゴリ: reward_rank, 範囲: 1～16, 件数: 16）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstPvpRewardGroup,id,default_reward_totalscore_[連番],"カテゴリ別連番（カテゴリ: reward_totalscore, 範囲: 1～15, 件数: 15）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstQuestBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～77, 件数: 77）",quest_bonus_unit_[quest_id]_[unit_id],クエストIDとユニットIDの組み合わせでIDを構成。クエストごとにボーナスユニットが管理されるため、クエスト別のIDが適切。
MstQuestEventBonusSchedule,id,[連番],"数字のみの通算連番（範囲: 1～12, 件数: 12）",quest_event_bonus_schedule_[event_id]_[連番],イベントIDごとに連番を振る。イベントごとにスケジュールが管理されるため、イベント別の連番が適切。
MstResultTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～18, 件数: 18）",result_tip_i18n_[tip_category]_[連番],Tipカテゴリーごとに連番を振る。カテゴリーごとにTipsが管理されるため、カテゴリー別の連番が適切。
MstShopPass,id,premium_pass_[連番],"プレフィックス_premium_pass + 通算連番（範囲: 1～3, 件数: 3）",shop_pass_[pass_type]_[連番],パスタイプごとに連番を振る。パスタイプ（プレミアム、ノーマル等）ごとに管理されるため、タイプ別の連番が適切。
MstShopPassEffect,id,premium_pass_01_effect_[連番],"プレフィックス_premium_pass_01_effect + 通算連番（範囲: 1～2, 件数: 2）",shop_pass_effect_[pass_id]_[連番],パスIDごとに連番を振る。各パスごとに効果が管理されるため、パス別の連番が適切。
MstSpecialAttackI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",special_attack_i18n_[attack_id],スペシャルアタックIDをベースにしたID。1つのアタックに1つのi18nレコードが対応するため、アタックIDを使うことで一意性を保証。
MstSpeechBalloonI18n,id,[連番],"数字のみの通算連番（範囲: 1～154, 件数: 100）",speech_balloon_i18n_[balloon_id],スピーチバルーンIDをベースにしたID。1つのバルーンに1つのi18nレコードが対応するため、バルーンIDを使うことで一意性を保証。
MstStageEnhanceRewardParam,id,[連番],"数字のみの通算連番（範囲: 1～14, 件数: 14）",stage_enhance_reward_param_[stage_level]_[連番],ステージレベルごとに連番を振る。レベルごとに報酬パラメータが管理されるため、レベル別の連番が適切。
MstStageEventReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",stage_event_reward_[event_id]_[stage_id]_[連番],イベントIDとステージIDごとに連番を振る。イベントとステージごとに報酬が管理されるため、それらの組み合わせが適切。
MstStageEventSetting,id,[連番],"数字のみの通算連番（範囲: 1～101, 件数: 100）",stage_event_setting_[event_id]_[連番],イベントIDごとに連番を振る。イベントごとに設定が管理されるため、イベント別の連番が適切。
MstStageReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",stage_reward_[stage_id]_[連番],ステージIDごとに連番を振る。ステージごとに報酬が管理されるため、ステージ別の連番が適切。
MstStoreProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",store_product_[product_category]_[連番],商品カテゴリーごとに連番を振る。カテゴリーごとに商品が管理されるため、カテゴリー別の連番が適切。
MstTutorialTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～28, 件数: 24）",tutorial_tip_i18n_[tip_category]_[連番],Tipカテゴリーごとに連番を振る。カテゴリーごとにTipsが管理されるため、カテゴリー別の連番が適切。
MstUnit,id,chara_dan_[連番],"カテゴリ別連番（カテゴリ: dan, 範囲: 1～301, 件数: 6）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_gom_[連番],"カテゴリ別連番（カテゴリ: gom, 範囲: 1～201, 件数: 3）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_sur_[連番],"カテゴリ別連番（カテゴリ: sur, 範囲: 1～901, 件数: 10）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_jig_[連番],"カテゴリ別連番（カテゴリ: jig, 範囲: 1～701, 件数: 8）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_kai_[連番],"カテゴリ別連番（カテゴリ: kai, 範囲: 1～701, 件数: 10）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_dos_[連番],"カテゴリ別連番（カテゴリ: dos, 範囲: 1～101, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_chi_[連番],"カテゴリ別連番（カテゴリ: chi, 範囲: 1～301, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_sum_[連番],"カテゴリ別連番（カテゴリ: sum, 範囲: 1～201, 件数: 3）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_tak_[連番],"カテゴリ別連番（カテゴリ: tak, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_rik_[連番],"カテゴリ別連番（カテゴリ: rik, 範囲: 1～101, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_aka_[連番],"カテゴリ別連番（カテゴリ: aka, 範囲: 1～101, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_spy_[連番],"カテゴリ別連番（カテゴリ: spy, 範囲: 1～501, 件数: 6）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_bat_[連番],"カテゴリ別連番（カテゴリ: bat, 範囲: 1～101, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_mag_[連番],"カテゴリ別連番（カテゴリ: mag, 範囲: 1～501, 件数: 6）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_yuw_[連番],"カテゴリ別連番（カテゴリ: yuw, 範囲: 1～601, 件数: 8）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_aha_[連番],"カテゴリ別連番（カテゴリ: aha, 範囲: 1～101, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_ron_[連番],"カテゴリ別連番（カテゴリ: ron, 範囲: 1～101, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_osh_[連番],"カテゴリ別連番（カテゴリ: osh, 範囲: 1～801, 件数: 8）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_you_[連番],"カテゴリ別連番（カテゴリ: you, 範囲: 1～301, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_kim_[連番],"カテゴリ別連番（カテゴリ: kim, 範囲: 1～301, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_hut_[連番],"カテゴリ別連番（カテゴリ: hut, 範囲: 1～301, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_gam_[連番],"カテゴリ別連番（カテゴリ: gam, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_hyp_[連番],"カテゴリ別連番（カテゴリ: hyp, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnit,id,chara_ara_[連番],"カテゴリ別連番（カテゴリ: ara, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstUnitEncyclopediaEffect,id,unit_encyclopedia_effect_[連番],"プレフィックス_unit_encyclopedia_effect + 通算連番（範囲: 5～1300, 件数: 44）",unit_encyclopedia_effect_[rank]_[連番],ランクごとに連番を振る。図鑑ランクごとに効果が管理されるため、ランク別の連番が適切。
MstUnitEncyclopediaReward,id,unit_encyclopedia_reward_rank_[連番],"プレフィックス_unit_encyclopedia_reward_rank + 通算連番（範囲: 5～1300, 件数: 44）",unit_encyclopedia_reward_[rank]_[連番],ランクごとに連番を振る。図鑑ランクごとに報酬が管理されるため、ランク別の連番が適切。
MstUnitFragmentConvert,id,[連番],"数字のみの通算連番（範囲: 1～8, 件数: 8）",unit_fragment_convert_[from_fragment_id]_to_[to_fragment_id],変換元と変換先のフラグメントIDをIDに含める。変換ルールごとに一意に決まるため、通算連番は不要。
MstUnitGradeCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～75, 件数: 40）",unit_grade_coefficient_[grade],グレード（ランク）をIDとする。グレードごとに1つの係数が対応するため、グレードそのものをIDとして使用。
MstUnitGradeUp,id,[連番],"数字のみの通算連番（範囲: 1～67, 件数: 32）",unit_grade_up_[from_grade]_to_[to_grade],昇格元と昇格先のグレードをIDに含める。昇格ルールごとに一意に決まるため、通算連番は不要。
MstUnitLevelUp,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",unit_level_up_[level],レベルをIDとする。レベルごとに1つのレベルアップ情報が対応するため、レベルそのものをIDとして使用。
MstUnitRankCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）",unit_rank_coefficient_[rank],ランクをIDとする。ランクごとに1つの係数が対応するため、ランクそのものをIDとして使用。
MstUnitRankUp,id,[連番],"数字のみの通算連番（範囲: 1～69, 件数: 48）",unit_rank_up_[from_rank]_to_[to_rank],ランクアップ元と先のランクをIDに含める。ランクアップルールごとに一意に決まるため、通算連番は不要。
MstUnitRoleBonus,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）",unit_role_bonus_[role],ロール（役割）をIDとする。ロールごとに1つのボーナスが対応するため、ロールそのものをIDとして使用。
MstUserLevel,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",user_level_[level],レベルをIDとする。レベルごとに1つのレベル情報が対応するため、レベルそのものをIDとして使用。
MstUserLevelBonus,id,[連番],"数字のみの通算連番（範囲: 1～21, 件数: 21）",user_level_bonus_[level],レベルをIDとする。レベルごとに1つのボーナスが対応するため、レベルそのものをIDとして使用。
MstUserLevelBonusGroup,id,[連番],"数字のみの通算連番（範囲: 1～31, 件数: 31）",user_level_bonus_group_[group_id],グループIDをIDとする。グループごとに1つのボーナスグループが対応するため、グループIDそのものをIDとして使用。
MstWhiteWord,id,wh_[連番],"プレフィックス_wh + 通算連番（範囲: 1～100, 件数: 100）",white_word_[word_hash],ワードのハッシュ値または単語そのものをIDとする。通算連番ではなく、単語ベースのIDにすることで、重複を避けやすくする。
OprGachaDisplayUnitI18n,id,[連番],"数字のみの通算連番（範囲: 1～107, 件数: 84）",gacha_display_unit_i18n_[gacha_id]_[unit_id],ガチャIDとユニットIDの組み合わせでIDを構成。ガチャごとに表示ユニットが管理されるため、ガチャとユニットの組み合わせが適切。
OprGachaUpper,id,[連番],"数字のみの通算連番（範囲: 1～26, 件数: 23）",gacha_upper_[gacha_id]_[upper_type]_[連番],ガチャIDとアッパータイプごとに連番を振る。ガチャごとにアッパー情報が管理されるため、ガチャ別の連番が適切。
OprGachaUseResource,id,[連番],"数字のみの通算連番（範囲: 1～93, 件数: 81）",gacha_use_resource_[gacha_id]_[resource_type]_[連番],ガチャIDとリソースタイプごとに連番を振る。ガチャごとに使用リソースが管理されるため、ガチャとリソースタイプの組み合わせが適切。
OprProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",product_[product_category]_[連番],商品カテゴリーごとに連番を振る。カテゴリーごとに商品が管理されるため、カテゴリー別の連番が適切。
