,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w1,,12,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,10000,,10,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.8,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
,w1,,13,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,8000,,8,,250,,2.5,,58.5,,,,213.68,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,30,,,,,,,,FriendUnitDead,,,,12,,50,,2,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,13,,FriendUnitDead,12,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,8,2.5,1,50,30,50,None,,202512020
,w1,,14,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,8000,,8,,250,,2.5,,58.5,,,,213.68,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,30,,,,,,,,FriendUnitDead,,,,12,,250,,5,,250,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,14,,FriendUnitDead,12,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,5,250,Fall0,2.5,None,,None,,None,,,FALSE,,Default,Normal,8,2.5,1,50,30,250,None,,202512020
,w1,,groupchange_2,,,,w2,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,9,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,groupchange_2,,FriendUnitDead,9,SwitchSequenceGroup,w2,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w2,,15,,,,c_osh_00301_osh1_advent_Boss_Yellow,,,,MEMちょ,,,,Boss,,Yellow,,Technical,,AdventBoss1,,Normal,,,,100000,,10,,400,,4,,56.5,,,,353.98,,3回目小ノックバック,,,,ノックバック大+攻撃ダウン,,,,,5,,166.5,,,,31,,0.27,,0,,0.28,,1,,1,,100,,300,,100,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,15,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_osh_00301_osh1_advent_Boss_Yellow,,1,0,Fall0,2.5,None,,None,,None,,,FALSE,,AdventBoss1,Normal,10,4,1,300,100,,None,,202512020
,w2,,16,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,16,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,50,None,,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,50,10,,None,,202512020
,w2,,17,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,500,,5,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,17,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,5,500,None,,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,50,10,,None,,202512020
,w2,,18,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,30,,,,,,,,FriendUnitDead,,,,19,,250,,5,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,18,,FriendUnitDead,19,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,5,250,None,,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,50,30,50,None,,202512020
,w2,,19,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,Fall0,,2.2,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,19,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,Fall0,2.2,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,50,10,,None,,202512020
,w2,,20,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,750,,50,,2,,,,Fall0,,1.7,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,20,,ElapsedTimeSinceSequenceGroupActivated,750,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,Fall0,1.7,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,50,10,,None,,202512020
,w2,,groupchange_3,,,,w3,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,15,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,groupchange_3,,FriendUnitDead,15,SwitchSequenceGroup,w3,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w3,,21,,,,c_osh_00201_osh1_advent_Boss_Red,,,,星野 ルビー,,,,Boss,,Red,,Attack,,AdventBoss2,,Normal,,,,150000,,15,,800,,8,,68.5,,,,583.94,,,,,,20秒自身の攻撃UP(200%),,,,,5,,150,,,,31,,0.22,,0,,0.23,,1,,1,,100,,300,,100,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,21,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_osh_00201_osh1_advent_Boss_Red,,1,0,Fall0,2.5,None,,None,,None,,,FALSE,,AdventBoss2,Normal,15,8,1,300,100,,None,,202512020
,w3,,22,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,30000,,30,,600,,6,,58.5,,,,512.82,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,Fall0,,2.2,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,22,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,Fall0,2.2,None,,None,,None,,,FALSE,,Default,Normal,30,6,1,50,10,,None,,202512020
,w3,,23,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,30000,,30,,600,,6,,58.5,,,,512.82,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,250,,5,,,,Fall0,,2.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,23,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,5,250,Fall0,2.8,None,,None,,None,,,FALSE,,Default,Normal,30,6,1,50,10,,None,,202512020
,w3,,24,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,30000,,30,,600,,6,,58.5,,,,512.82,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1000,,50,,4,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,24,,ElapsedTimeSinceSequenceGroupActivated,1000,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,4,50,None,,None,,None,,None,,,FALSE,,Default,Normal,30,6,1,50,10,,None,,202512020
,w3,,25,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,30000,,30,,600,,6,,58.5,,,,512.82,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,FriendUnitDead,,,,23,,50,,2,,,,Fall0,,3.2,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,25,,FriendUnitDead,23,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,Fall0,3.2,None,,None,,None,,,FALSE,,Default,Normal,30,6,1,50,10,,None,,202512020
,w3,,26,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,30000,,30,,600,,6,,58.5,,,,512.82,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,FriendUnitDead,,,,24,,500,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,26,,FriendUnitDead,24,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,FALSE,,Default,Normal,30,6,1,50,10,,None,,202512020
,w3,,27,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,100,,1,,58.5,,,,85.47,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,FriendUnitDead,,,,22,,0,,1,,50,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,27,,FriendUnitDead,22,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.5,None,,None,,None,,,FALSE,,Default,Normal,20,1,1,10,20,50,None,,202512020
,w3,,28,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,100,,1,,58.5,,,,85.47,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,30,,,,,,,,FriendUnitDead,,,,27,,50,,10,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,28,,FriendUnitDead,27,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,10,50,None,,None,,None,,None,,,FALSE,,Default,Normal,20,1,1,10,30,50,None,,202512020
,w3,,groupchange_4,,,,w4,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,21,,,,,,100,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,groupchange_4,,FriendUnitDead,21,SwitchSequenceGroup,w4,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,100,None,,202512020
,w4,,29,,,,e_glo_00002_osh1_advent_Boss_Green,,,,推し活ファントム,,,,Boss,,Green,,Attack,,AdventBoss2,,Normal,,,,200000,,20,,900,,9,,58.5,,,,769.23,,,,,,,,,,,-,,0,,,,45,,0.22,,0,,0.23,,1,,1,,100,,300,,50,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,29,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Boss_Green,,1,0,Fall0,2.5,None,,None,,None,,,FALSE,,AdventBoss2,Normal,20,9,1,300,50,,None,,202512020
,w4,,30,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,50000,,50,,700,,7,,58.5,,,,598.29,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,Fall0,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,30,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,Fall0,1.8,None,,None,,None,,,FALSE,,Default,Normal,50,7,1,50,10,,None,,202512020
,w4,,31,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,50000,,50,,700,,7,,58.5,,,,598.29,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,350,,3,,,,Fall0,,2.9,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,31,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,350,Fall0,2.9,None,,None,,None,,,FALSE,,Default,Normal,50,7,1,50,10,,None,,202512020
,w4,,32,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,50000,,50,,700,,7,,58.5,,,,598.29,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,500,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,32,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,50,7,1,50,10,,None,,202512020
,w4,,33,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,50000,,50,,700,,7,,58.5,,,,598.29,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1000,,300,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,33,,ElapsedTimeSinceSequenceGroupActivated,1000,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,300,None,,None,,None,,None,,,FALSE,,Default,Normal,50,7,1,50,10,,None,,202512020
,w4,,34,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,200,,2,,58.5,,,,170.94,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,FriendUnitDead,,,,31,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,34,,FriendUnitDead,31,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,20,2,1,10,20,50,None,,202512020
,w4,,35,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,200,,2,,58.5,,,,170.94,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,30,,,,,,,,FriendUnitDead,,,,34,,50,,10,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,35,,FriendUnitDead,34,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,10,50,None,,None,,None,,None,,,FALSE,,Default,Normal,20,2,1,10,30,50,None,,202512020
,w4,,groupchange_5,,,,w5,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,29,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,groupchange_5,,FriendUnitDead,29,SwitchSequenceGroup,w5,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w5,,36,,,,c_osh_00301_osh1_advent_Normal_Yellow,,,,MEMちょ,,,,Normal,,Yellow,,Technical,,Default,,Normal,,,,300000,,300,,1000,,10,,56.5,,,,884.96,,3回目小ノックバック,,,,ノックバック中+攻撃ダウン,,,,,5,,166.5,,,,37,,0.27,,0,,0.28,,1,,1,,50,,250,,50,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,0,,1,,,,Fall0,,2.3,,ElapsedTime,,,,250,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,36,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_osh_00301_osh1_advent_Normal_Yellow,,1,0,Fall0,2.3,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,300,10,1,250,50,,None,,202512020
,w5,,37,,,,c_osh_00401_osh1_advent_Boss_Colorless,,,,有馬 かな,,,,Boss,,Colorless,,Technical,,AdventBoss3,,Normal,,,,500000,,50,,1200,,12,,58.5,,,,1025.64,,,,,,火傷,,,,,5,,123.5,,,,31,,0.24,,0,,0.25,,1,,1,,100,,300,,300,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.5,,ElapsedTime,,,,500,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,37,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_osh_00401_osh1_advent_Boss_Colorless,,1,0,Fall0,2.5,ElapsedTime,500,None,,None,,,FALSE,,AdventBoss3,Normal,50,12,1,300,300,,None,,202512020
,w5,,38,,,,c_osh_00201_osh1_advent_Normal_Red,,,,星野 ルビー,,,,Normal,,Red,,Attack,,Default,,Normal,,,,350000,,350,,1500,,15,,68.5,,,,1094.89,,,,,,20秒自身の攻撃UP(100%),,,,,5,,150,,,,37,,0.22,,0,,0.23,,1,,1,,50,,150,,50,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,0,,1,,,,Fall0,,2.7,,ElapsedTime,,,,250,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,38,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_osh_00201_osh1_advent_Normal_Red,,1,0,Fall0,2.7,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,350,15,1,150,50,,None,,202512020
,w5,,39,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,0,,1,,,,Fall0,,2.1,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,39,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.1,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,10,20,,None,,202512020
,w5,,40,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,0,,1,,,,Fall0,,2.9,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,40,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.9,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,10,20,,None,,202512020
,w5,,41,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,750,,0,,1,,,,None,,3.4,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,41,,ElapsedTimeSinceSequenceGroupActivated,750,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,3.4,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,10,20,,None,,202512020
,w5,,42,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,20000,,20,,300,,3,,58.5,,,,256.41,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,FriendUnitDead,,,,41,,50,,10,,100,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,42,,FriendUnitDead,41,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,10,50,None,,None,,None,,None,,,FALSE,,Default,Normal,20,3,1,10,20,100,None,,202512020
,w5,,43,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,60000,,60,,1000,,10,,58.5,,,,854.70,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,250,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,43,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,250,None,,None,,None,,None,,,FALSE,,Default,Normal,60,10,1,50,10,,None,,202512020
,w5,,44,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,60000,,60,,1000,,10,,58.5,,,,854.70,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1000,,50,,4,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,44,,ElapsedTimeSinceSequenceGroupActivated,1000,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,4,50,None,,None,,None,,None,,,FALSE,,Default,Normal,60,10,1,50,10,,None,,202512020
,w5,,45,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,60000,,60,,1000,,10,,58.5,,,,854.70,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,50,,2,,,,Fall0,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,45,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,2,50,Fall0,1.8,None,,None,,None,,,FALSE,,Default,Normal,60,10,1,50,10,,None,,202512020
,w5,,groupchange_6,,,,w6,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,37,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,groupchange_6,,FriendUnitDead,37,SwitchSequenceGroup,w6,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w6,,46,,,,c_osh_00401_osh1_advent_Boss_Colorless,,,,有馬 かな,,,,Boss,,Colorless,,Technical,,AdventBoss3,,Normal,,,,600000,,60,,1500,,15,,58.5,,,,1282.05,,,,,,火傷,,,,,5,,123.5,,,,31,,0.24,,0,,0.25,,1,,1,,100,,250,,300,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,46,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_osh_00401_osh1_advent_Boss_Colorless,,1,0,Fall0,2.5,None,,None,,None,,,FALSE,,AdventBoss3,Normal,60,15,1,250,300,,None,,202512020
