作品_ID,作品名,接頭語（カテゴリー）,chara_id,アイテム_ID,assetKey,原画名,レアリティ,最大所持数,フレーバーテキスト,入手箇所,リリースキー,指示書関連ページURL,"カットイン原画pngファイル保存先URL
（グレード5強化で獲得できる原画）",原作ページ数,備考
sur,魔都精兵のスレイブ,artwork_chara,chara_sur_00501,artwork_chara_sur_00501,artwork_chara_sur_00501,空間を操る六番組組長 出雲 天花の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1U_wLEW_fHVOvv8HQ8ntQ35m684gkqN1K/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/103uYpg7q5mQwHqkNcswVbQyroAqFRZCI,03巻124-125P,空間を操る六番組組長 出雲 天花
sur,魔都精兵のスレイブ,artwork_chara,chara_sur_00901,artwork_chara_sur_00901,artwork_chara_sur_00901,万物を統べる総組長 山城 恋の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1lNUHZPqys44tmKxpTYwLpEdlSBCCNLOo/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1q6Ck67ItRwAM0fIddiEhpcxMOZLAmiyB,07巻026-027P,万物を統べる総組長 山城 恋
tak,タコピーの原罪,artwork_chara,chara_tak_00001,artwork_chara_tak_00001,artwork_chara_tak_00001,ハッピー星からの使者 タコピーの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1yysNeYk8o9ePSsMMn_0OScX451ydtAte/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1-TKNJIv9C0IgWoekIvoiYRffzdop2MED,01巻048-049P,ハッピー星からの使者 タコピー
tak,タコピーの原罪,artwork_chara,chara_tak_00101,artwork_chara_tak_00101,artwork_chara_tak_00101,選定中の原画(仮名称),UR,1,,,,,,,選定中
jig,地獄楽,artwork_chara,chara_jig_00001,artwork_chara_jig_00001,artwork_chara_jig_00001,がらんの画眉丸の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1smpe_lnmBqmzLUpMw7QLGj3OkXlzA3Rv/edit?slide=id.p4#slide=id.p4,https://drive.google.com/drive/folders/1Yju112F8_aYBXmG1c03hHsvdZeMCj78F,02巻172-173P,がらんの画眉丸
jig,地獄楽,artwork_chara,chara_jig_00401,artwork_chara_jig_00401,artwork_chara_jig_00401,賊王 亜左 弔兵衛の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/12_ayx7wVYHpT5A5-aixdnL_ymMBIKTGC/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1KCqcgSbOKDSHGgBaCbfZgrwX-jDgwWYc,02巻062-063P,賊王 亜左 弔兵衛
mag,株式会社マジルミエ,artwork_chara,chara_mag_00001,artwork_chara_mag_00001,artwork_chara_mag_00001,新人魔法少女 桜木 カナの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1zAHIZfnSYdJnMuCafLtbVreozB4VE0fc/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1quzO2Q68LmeGB5aa1P4B8zwvl94a7HTV,01巻154-155P,新人魔法少女 桜木 カナ
mag,株式会社マジルミエ,artwork_chara,chara_mag_00201,artwork_chara_mag_00201,artwork_chara_mag_00201,絶対効率の体現者 土刃 メイの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1tKs3PLm9fTAE880Opgok_f_5ggIG2CF-/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1fB6Tt3RsxQ3fNLpANFMxxh-UaFbJi90n,03巻032-033P,絶対効率の体現者 土刃 メイ
sum,サマータイムレンダ,artwork_chara,chara_sum_00101,artwork_chara_sum_00101,artwork_chara_sum_00101,影のウシオ 小舟 潮の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1ncJBCGdvLzUO2rZ2fKoen86GxBSvrDEU/edit?slide=id.p24#slide=id.p24,https://drive.google.com/drive/folders/1Qi2MwpeJNSE8nI4cgqJkeY5XXf1zevPC,13巻204-205P,影のウシオ 小舟 潮
sum,サマータイムレンダ,artwork_chara,chara_sum_00501,artwork_chara_sum_00501,artwork_chara_sum_00501,選定中の原画(仮名称),UR,1,,,,,,,選定中
osh,【推しの子】,artwork_chara,chara_osh_00001,artwork_chara_osh_00001,artwork_chara_osh_00001,B小町不動のセンター アイの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1dZA5LJMowz6g_IhQYMyRIYnhxK7nszzm/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1GYFxgg3hnA9glkYfrNFAB8T28wR8tULe,01巻108-109P,B小町不動のセンター アイ
osh,【推しの子】,artwork_chara,chara_osh_00101,artwork_chara_osh_00101,artwork_chara_osh_00101,復讐を誓う片星 星野 アクアの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1bKi9mQvyg23sVtOa1Z2Nyk4qKCA8HDTn/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1B_66HsWnaW5Yr90d8QB2nff5l6fGyAuG,02巻024-025P,復讐を誓う片星 星野 アクア
osh,【推しの子】,artwork_chara,chara_osh_00402,artwork_chara_osh_00402,artwork_chara_osh_00402,選定中の原画(仮名称),UR,1,,,,,,,選定中
osh,【推しの子】,artwork_chara,chara_osh_00502,artwork_chara_osh_00502,artwork_chara_osh_00502,選定中の原画(仮名称),UR,1,,,,,,,選定中
you,幼稚園WARS,artwork_chara,chara_you_00001,artwork_chara_you_00001,artwork_chara_you_00001,元殺し屋の新人教諭 リタの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1fhFuGF1F0QfYGlazTc4Dc0-xrZ5CtILV/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1_LZwFsLjz9iNu2jK7APzlKYe2Q8DJh1T,03巻124-125P,元殺し屋の新人教諭 リタ
kim,君のことが大大大大大好きな100人の彼女,artwork_chara,chara_kim_00001,artwork_chara_kim_00001,artwork_chara_kim_00001,溢れる母性 花園 羽々里の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1aML5a-UyfQ9Vmos0OgZZ6iskj7YawM7d/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/14FBy3lQER8Jg9dBjh-WUugDc4NaNufK8,03巻072-073P,溢れる母性 花園 羽々里
hut,ふつうの軽音部,artwork_chara,chara_hut_00001,artwork_chara_hut_00001,artwork_chara_hut_00001,ひたむきギタリスト 鳩野 ちひろの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1LK5Y6CwliyiAbAHiAp-4LZSKHCEnRRzQ/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1wj6CT9KBg30ouTntI3L3GE8PnM-r6MMa,04巻148-149P,ひたむきギタリスト 鳩野 ちひろ
rur,ルリドラゴン,artwork_chara,chara_rur_00001,artwork_chara_rur_00001,artwork_chara_rur_00001,監修NGの原画(仮名称),UR,1,,,,,,,監修NG
aya,あやかしトライアングル,artwork_chara,chara_aya_00001,artwork_chara_aya_00001,artwork_chara_aya_00001,一子相伝の風使い 風巻 祭里の原画(仮名称),UR,1,,,,,,,一子相伝の風使い 風巻 祭里
mar,マリッジトキシン,artwork_chara,chara_mar_00001,artwork_chara_mar_00001,artwork_chara_mar_00001,不器用な毒使い 下呂 ヒカルの原画(仮名称),UR,1,,,,,,,不器用な毒使い 下呂 ヒカル
sib,シバつき物件,artwork_chara,chara_sib_00001,artwork_chara_sib_00001,artwork_chara_sib_00001,監修中の原画(仮名称),UR,1,,,,,,,監修中
mad,MAD,artwork_chara,chara_mad_00001,artwork_chara_mad_00001,artwork_chara_mad_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
mad,MAD,artwork_chara,chara_mad_00101,artwork_chara_mad_00101,artwork_chara_mad_00101,選定中の原画(仮名称),UR,1,,,,,,,選定中
syu,終末のハーレム,artwork_chara,chara_syu_00001,artwork_chara_syu_00001,artwork_chara_syu_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
aft,終末のハーレム After World,artwork_chara,chara_aft_00001,artwork_chara_aft_00001,artwork_chara_aft_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
kut,口が裂けても君には,artwork_chara,chara_kut_00001,artwork_chara_kut_00001,artwork_chara_kut_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
san,サンキューピッチ,artwork_chara,chara_san_00001,artwork_chara_san_00001,artwork_chara_san_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
sei,正反対な君と僕,artwork_chara,chara_sei_00001,artwork_chara_sei_00001,artwork_chara_sei_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
kus,クソ女に幸あれ,artwork_chara,chara_kus_00001,artwork_chara_kus_00001,artwork_chara_kus_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
fan,終末のハーレム ファンタジア,artwork_chara,chara_fan_00001,artwork_chara_fan_00001,artwork_chara_fan_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,artwork_chara,chara_vig_00001,artwork_chara_vig_00001,artwork_chara_vig_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,artwork_chara,chara_vig_00101,artwork_chara_vig_00101,artwork_chara_vig_00101,選定中の原画(仮名称),UR,1,,,,,,,選定中
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,artwork_chara,chara_vig_00201,artwork_chara_vig_00201,artwork_chara_vig_00201,選定中の原画(仮名称),UR,1,,,,,,,選定中
chi,チェンソーマン,artwork_chara,chara_chi2_00001,artwork_chara_hi2_00001,artwork_chara_hi2_00001,選定中の原画(仮名称),UR,1,,,,,,,選定中
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
,error,artwork_chara,,artwork_chara_,artwork_chara_,,D列を入力,1,,,,,,,
