設定可,使用クエスト,作品_id,作品名,クエストカテゴリ,クエスト区分,クエスト番号,ステージ番号,演出種類,表示タイミング,名称追加,種類区別,表示区別,演出_asset_key ※設定ID併用,プレハブ名,使用場所,原作場面,監修通過の有無,psd差し替え,デプロイ
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,4,原画,クリア,,genga_,_victory,genga_spy_main_001_04_victory,manga_animation_genga_spy_main_001_04_victory,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,5,原画,クリア,,genga_,_victory,genga_spy_main_001_05_victory,manga_animation_genga_spy_main_001_05_victory,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,6,原画,ボス出現,_ushio,genga_,_appear,genga_sum_main_014_06_appear_ushio,manga_animation_genga_sum_main_014_06_appear_ushio,,,監修待ち,,
◎,メインクエスト,osh,【推しの子】,main,normal,17,1,原画,開始,,genga_,_start,genga_osh_main_017_01_start,manga_animation_genga_osh_main_017_01_start,,,,,
◎,メインクエスト,osh,【推しの子】,main,normal,17,1,原画,クリア,,genga_,_victory,genga_osh_main_017_01_victory,manga_animation_genga_osh_main_017_01_victory,,,,,
◎,メインクエスト,osh,【推しの子】,main,normal,17,2,原画,開始,,genga_,_start,genga_osh_main_017_02_start,manga_animation_genga_osh_main_017_02_start,,,,,
◎,メインクエスト,osh,【推しの子】,main,normal,17,2,原画,クリア,,genga_,_victory,genga_osh_main_017_02_victory,manga_animation_genga_osh_main_017_02_victory,,,,,
◎,メインクエスト,osh,【推しの子】,main,normal,17,3,原画,開始,,genga_,_start,genga_osh_main_017_03_start,manga_animation_genga_osh_main_017_03_start,,,,,
◎,メインクエスト,osh,【推しの子】,main,normal,17,3,原画,クリア,,genga_,_victory,genga_osh_main_017_03_victory,manga_animation_genga_osh_main_017_03_victory,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"イベント原画・セリフ演出の命名規則
event_作品id_クエスト番号_クエスト区分_ステージ番号_演出種類_表示タイミング_名称追加",,,,,,
,イベント,kai,怪獣８号,event,story,1,1,原画,開始,,genga_,_start,genga_kai_event_story_00001_01_start,manga_animation_genga_kai_event_story_00001_01_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,2,原画,開始,,genga_,_start,genga_kai_event_story_00001_02_start,manga_animation_genga_kai_event_story_00001_02_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,3,原画,開始,,genga_,_start,genga_kai_event_story_00001_03_start,manga_animation_genga_kai_event_story_00001_03_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,3,原画,クリア,,genga_,_victory,genga_kai_event_story_00001_03_victory,manga_animation_genga_kai_event_story_00001_03_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,4,原画,開始,,genga_,_start,genga_kai_event_story_00001_04_start,manga_animation_genga_kai_event_story_00001_04_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,5,原画,クリア,,genga_,_victory,genga_kai_event_story_00001_05_victory,manga_animation_genga_kai_event_story_00001_05_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,6,原画,開始,,genga_,_start,genga_kai_event_story_00001_06_start,manga_animation_genga_kai_event_story_00001_06_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,6,原画,クリア,,genga_,_victory,genga_kai_event_story_00001_06_victory,manga_animation_genga_kai_event_story_00001_06_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,7,原画,クリア,,genga_,_victory,genga_kai_event_story_00001_07_victory,manga_animation_genga_kai_event_story_00001_07_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,8,原画,開始,,genga_,_start,genga_kai_event_story_00001_08_start,manga_animation_genga_kai_event_story_00001_08_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,1,8,原画,クリア,,genga_,_victory,genga_kai_event_story_00001_08_victory,manga_animation_genga_kai_event_story_00001_08_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,1,原画,開始,,genga_,_start,genga_kai_event_story_00002_01_start,manga_animation_genga_kai_event_story_00002_01_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,1,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_01_victory,manga_animation_genga_kai_event_story_00002_01_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,2,原画,開始,,genga_,_start,genga_kai_event_story_00002_02_start,manga_animation_genga_kai_event_story_00002_02_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,2,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_02_victory,manga_animation_genga_kai_event_story_00002_02_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,3,原画,開始,,genga_,_start,genga_kai_event_story_00002_03_start,manga_animation_genga_kai_event_story_00002_03_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,3,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_03_victory,manga_animation_genga_kai_event_story_00002_03_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,4,原画,開始,,genga_,_start,genga_kai_event_story_00002_04_start,manga_animation_genga_kai_event_story_00002_04_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,4,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_04_victory,manga_animation_genga_kai_event_story_00002_04_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,5,原画,開始,,genga_,_start,genga_kai_event_story_00002_05_start,manga_animation_genga_kai_event_story_00002_05_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,5,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_05_victory,manga_animation_genga_kai_event_story_00002_05_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,6,原画,開始,,genga_,_start,genga_kai_event_story_00002_06_start,manga_animation_genga_kai_event_story_00002_06_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,7,原画,開始,,genga_,_start,genga_kai_event_story_00002_07_start,manga_animation_genga_kai_event_story_00002_07_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,7,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_07_victory,manga_animation_genga_kai_event_story_00002_07_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,8,原画,開始,,genga_,_start,genga_kai_event_story_00002_08_start,manga_animation_genga_kai_event_story_00002_08_start,,,通過済み,,
,イベント,kai,怪獣８号,event,story,2,8,原画,クリア,,genga_,_victory,genga_kai_event_story_00002_08_victory,manga_animation_genga_kai_event_story_00002_08_victory,,,通過済み,,
,イベント,kai,怪獣８号,event,challenge,1,3,原画,開始,,genga_,_start,genga_kai_event_challenge_00001_03_start,manga_animation_genga_kai_event_challenge_00001_03_start,,,通過済み,,
,イベント,kai,怪獣８号,event,challenge,1,4,原画,開始,,genga_,_start,genga_kai_event_challenge_00001_04_start,manga_animation_genga_kai_event_challenge_00001_04_start,,,通過済み,,
,イベント,kai,怪獣８号,event,savage,1,1,原画,開始,,genga_,_start,genga_kai_event_savage_00001_01_start,manga_animation_genga_kai_event_savage_00001_01_start,,,通過済み,,
,イベント,kai,怪獣８号,event,savage,1,2,原画,開始,,genga_,_start,genga_kai_event_savage_00001_02_start,manga_animation_genga_kai_event_savage_00001_02_start,,,通過済み,,
,イベント,kai,怪獣８号,event,1day,1,1,原画,開始,,genga_,_start,genga_kai_event_1day_00001_01_start,manga_animation_genga_kai_event_1day_00001_01_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,1,原画,開始,,genga_,_start,genga_spy_event_story_00001_01_start,manga_animation_genga_spy_event_story_00001_01_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,1,原画,クリア,,genga_,_victory,genga_spy_event_story_00001_01_victory,manga_animation_genga_spy_event_story_00001_01_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,2,原画,開始,,genga_,_start,genga_spy_event_story_00001_02_start,manga_animation_genga_spy_event_story_00001_02_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,2,原画,クリア,,genga_,_victory,genga_spy_event_story_00001_02_victory,manga_animation_genga_spy_event_story_00001_02_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,3,原画,開始,,genga_,_start,genga_spy_event_story_00001_03_start,manga_animation_genga_spy_event_story_00001_03_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,3,原画,クリア,,genga_,_victory,genga_spy_event_story_00001_03_victory,manga_animation_genga_spy_event_story_00001_03_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,4,原画,開始,,genga_,_start,genga_spy_event_story_00001_04_start,manga_animation_genga_spy_event_story_00001_04_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,6,原画,開始,,genga_,_start,genga_spy_event_story_00001_06_start,manga_animation_genga_spy_event_story_00001_06_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,7,原画,開始,,genga_,_start,genga_spy_event_story_00001_07_start,manga_animation_genga_spy_event_story_00001_07_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,7,原画,クリア,,genga_,_victory,genga_spy_event_story_00001_07_victory,manga_animation_genga_spy_event_story_00001_07_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,8,原画,開始,,genga_,_start,genga_spy_event_story_00001_08_start,manga_animation_genga_spy_event_story_00001_08_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,1,8,原画,クリア,,genga_,_victory,genga_spy_event_story_00001_08_victory,manga_animation_genga_spy_event_story_00001_08_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,1,原画,開始,,genga_,_start,genga_spy_event_story_00002_01_start,manga_animation_genga_spy_event_story_00002_01_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,1,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_01_victory,manga_animation_genga_spy_event_story_00002_01_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,2,原画,開始,,genga_,_start,genga_spy_event_story_00002_02_start,manga_animation_genga_spy_event_story_00002_02_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,2,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_02_victory,manga_animation_genga_spy_event_story_00002_02_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,3,原画,開始,,genga_,_start,genga_spy_event_story_00002_03_start,manga_animation_genga_spy_event_story_00002_03_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,3,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_03_victory,manga_animation_genga_spy_event_story_00002_03_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,4,原画,開始,,genga_,_start,genga_spy_event_story_00002_04_start,manga_animation_genga_spy_event_story_00002_04_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,4,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_04_victory,manga_animation_genga_spy_event_story_00002_04_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,5,原画,開始,,genga_,_start,genga_spy_event_story_00002_05_start,manga_animation_genga_spy_event_story_00002_05_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,5,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_05_victory,manga_animation_genga_spy_event_story_00002_05_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,6,原画,開始,,genga_,_start,genga_spy_event_story_00002_06_start,manga_animation_genga_spy_event_story_00002_06_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,6,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_06_victory,manga_animation_genga_spy_event_story_00002_06_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,7,原画,開始,,genga_,_start,genga_spy_event_story_00002_07_start,manga_animation_genga_spy_event_story_00002_07_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,7,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_07_victory,manga_animation_genga_spy_event_story_00002_07_victory,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,8,原画,開始,,genga_,_start,genga_spy_event_story_00002_08_start,manga_animation_genga_spy_event_story_00002_08_start,,,通過済み,,
◎,イベント,spy,SPY×FAMILY,event,story,2,8,原画,クリア,,genga_,_victory,genga_spy_event_story_00002_08_victory,manga_animation_genga_spy_event_story_00002_08_victory,,,通過済み,,
×,イベント,spy,SPY×FAMILY,event,1day,1,1,原画,開始,,genga_,_start,genga_spy_event_1day_00001_01_start,manga_animation_genga_spy_event_1day_00001_01_start,,,通過済み,,
×,イベント,spy,SPY×FAMILY,event,challenge,1,2,原画,開始,yoru,genga_,_start,genga_spy_event_challenge_00001_02_start,manga_animation_genga_spy_event_challenge_00001_02_start,,,通過済み,,
×,イベント,spy,SPY×FAMILY,event,challenge,1,3,原画,開始,loid,genga_,_start,genga_spy_event_challenge_00001_03_start,manga_animation_genga_spy_event_challenge_00001_03_start,,,通過済み,,
×,イベント,spy,SPY×FAMILY,event,challenge,1,4,原画,開始,yuri,genga_,_start,genga_spy_event_challenge_00001_04_start,manga_animation_genga_spy_event_challenge_00001_04_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,1,原画,開始,,genga_,_start,genga_dan_event_story_00001_01_start,manga_animation_genga_dan_event_story_00001_01_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,2,原画,開始,,genga_,_start,genga_dan_event_story_00001_02_start,manga_animation_genga_dan_event_story_00001_02_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,3,原画,開始,,genga_,_start,genga_dan_event_story_00001_03_start,manga_animation_genga_dan_event_story_00001_03_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,3,原画,クリア,,genga_,_victory,genga_dan_event_story_00001_03_victory,manga_animation_genga_dan_event_story_00001_03_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,4,原画,開始,,genga_,_start,genga_dan_event_story_00001_04_start,manga_animation_genga_dan_event_story_00001_04_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,4,原画,クリア,,genga_,_victory,genga_dan_event_story_00001_04_victory,manga_animation_genga_dan_event_story_00001_04_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,5,原画,開始,,genga_,_start,genga_dan_event_story_00001_05_start,manga_animation_genga_dan_event_story_00001_05_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,6,原画,開始,,genga_,_start,genga_dan_event_story_00001_06_start,manga_animation_genga_dan_event_story_00001_06_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,6,原画,クリア,,genga_,_victory,genga_dan_event_story_00001_06_victory,manga_animation_genga_dan_event_story_00001_06_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,7,原画,開始,,genga_,_start,genga_dan_event_story_00001_07_start,manga_animation_genga_dan_event_story_00001_07_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,7,原画,クリア,,genga_,_victory,genga_dan_event_story_00001_07_victory,manga_animation_genga_dan_event_story_00001_07_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,8,原画,開始,,genga_,_start,genga_dan_event_story_00001_08_start,manga_animation_genga_dan_event_story_00001_08_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,1,8,原画,クリア,,genga_,_victory,genga_dan_event_story_00001_08_victory,manga_animation_genga_dan_event_story_00001_08_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,1,原画,開始,,genga_,_start,genga_dan_event_story_00002_01_start,manga_animation_genga_dan_event_story_00002_01_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,2,原画,開始,,genga_,_start,genga_dan_event_story_00002_02_start,manga_animation_genga_dan_event_story_00002_02_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,3,原画,開始,,genga_,_start,genga_dan_event_story_00002_03_start,manga_animation_genga_dan_event_story_00002_03_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,3,原画,クリア,,genga_,_victory,genga_dan_event_story_00002_03_victory,manga_animation_genga_dan_event_story_00002_03_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,4,原画,開始,,genga_,_start,genga_dan_event_story_00002_04_start,manga_animation_genga_dan_event_story_00002_04_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,4,原画,クリア,,genga_,_victory,genga_dan_event_story_00002_04_victory,manga_animation_genga_dan_event_story_00002_04_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,5,原画,開始,,genga_,_start,genga_dan_event_story_00002_05_start,manga_animation_genga_dan_event_story_00002_05_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,5,原画,クリア,,genga_,_victory,genga_dan_event_story_00002_05_victory,manga_animation_genga_dan_event_story_00002_05_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,6,原画,開始,,genga_,_start,genga_dan_event_story_00002_06_start,manga_animation_genga_dan_event_story_00002_06_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,6,原画,クリア,,genga_,_victory,genga_dan_event_story_00002_06_victory,manga_animation_genga_dan_event_story_00002_06_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,7,原画,開始,,genga_,_start,genga_dan_event_story_00002_07_start,manga_animation_genga_dan_event_story_00002_07_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,7,原画,クリア,,genga_,_victory,genga_dan_event_story_00002_07_victory,manga_animation_genga_dan_event_story_00002_07_victory,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,8,原画,開始,,genga_,_start,genga_dan_event_story_00002_08_start,manga_animation_genga_dan_event_story_00002_08_start,,,通過済み,,
◎,イベント,dan,ダンダダン,event,story,2,8,原画,クリア,,genga_,_victory,genga_dan_event_story_00002_08_victory,manga_animation_genga_dan_event_story_00002_08_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,1day,1,1,原画,開始,,genga_,_start,genga_mag_event_1day_00001_01_start,manga_animation_genga_mag_event_1day_00001_01_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,challenge,1,1,原画,ボス出現,_akane,genga_,_appear,genga_mag_event_challenge_00001_01_appear,manga_animation_genga_mag_event_challenge_00001_01_appear,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,challenge,1,2,原画,ボス出現,_lily,genga_,_appear,genga_mag_event_challenge_00001_02_appear,manga_animation_genga_mag_event_challenge_00001_02_appear,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,challenge,1,3,原画,ボス出現,_kana,genga_,_appear,genga_mag_event_challenge_00001_03_appear,manga_animation_genga_mag_event_challenge_00001_03_appear,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,challenge,1,4,原画,ボス出現,_mei,genga_,_appear,genga_mag_event_challenge_00001_04_appear,manga_animation_genga_mag_event_challenge_00001_04_appear,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,savage,1,1,原画,開始,,genga_,_start,genga_mag_event_savage_00001_01_start,manga_animation_genga_mag_event_savage_00001_01_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,savage,1,2,原画,開始,,genga_,_start,genga_mag_event_savage_00001_02_start,manga_animation_genga_mag_event_savage_00001_02_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,1,原画,開始,,genga_,_start,genga_mag_event_story_00001_01_start,manga_animation_genga_mag_event_story_00001_01_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,1,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_01_victory,manga_animation_genga_mag_event_story_00001_01_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,2,原画,開始,,genga_,_start,genga_mag_event_story_00001_02_start,manga_animation_genga_mag_event_story_00001_02_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,2,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_02_victory,manga_animation_genga_mag_event_story_00001_02_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,3,原画,開始,,genga_,_start,genga_mag_event_story_00001_03_start,manga_animation_genga_mag_event_story_00001_03_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,3,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_03_victory,manga_animation_genga_mag_event_story_00001_03_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,4,原画,開始,,genga_,_start,genga_mag_event_story_00001_04_start,manga_animation_genga_mag_event_story_00001_04_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,4,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_04_victory,manga_animation_genga_mag_event_story_00001_04_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,5,原画,開始,,genga_,_start,genga_mag_event_story_00001_05_start,manga_animation_genga_mag_event_story_00001_05_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,6,原画,開始,,genga_,_start,genga_mag_event_story_00001_06_start,manga_animation_genga_mag_event_story_00001_06_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,6,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_06_victory,manga_animation_genga_mag_event_story_00001_06_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,7,原画,開始,,genga_,_start,genga_mag_event_story_00001_07_start,manga_animation_genga_mag_event_story_00001_07_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,7,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_07_victory,manga_animation_genga_mag_event_story_00001_07_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,8,原画,開始,,genga_,_start,genga_mag_event_story_00001_08_start,manga_animation_genga_mag_event_story_00001_08_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,1,8,原画,クリア,,genga_,_victory,genga_mag_event_story_00001_08_victory,manga_animation_genga_mag_event_story_00001_08_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,1,原画,開始,,genga_,_start,genga_mag_event_story_00002_01_start,manga_animation_genga_mag_event_story_00002_01_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,2,原画,開始,,genga_,_start,genga_mag_event_story_00002_02_start,manga_animation_genga_mag_event_story_00002_02_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,2,原画,クリア,,genga_,_victory,genga_mag_event_story_00002_02_victory,manga_animation_genga_mag_event_story_00002_02_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,3,原画,開始,,genga_,_start,genga_mag_event_story_00002_03_start,manga_animation_genga_mag_event_story_00002_03_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,3,原画,クリア,,genga_,_victory,genga_mag_event_story_00002_03_victory,manga_animation_genga_mag_event_story_00002_03_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,4,原画,開始,,genga_,_start,genga_mag_event_story_00002_04_start,manga_animation_genga_mag_event_story_00002_04_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,5,原画,クリア,,genga_,_victory,genga_mag_event_story_00002_05_victory,manga_animation_genga_mag_event_story_00002_05_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,6,原画,開始,,genga_,_start,genga_mag_event_story_00002_06_start,manga_animation_genga_mag_event_story_00002_06_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,6,原画,クリア,,genga_,_victory,genga_mag_event_story_00002_06_victory,manga_animation_genga_mag_event_story_00002_06_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,7,原画,開始,,genga_,_start,genga_mag_event_story_00002_07_start,manga_animation_genga_mag_event_story_00002_07_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,7,原画,クリア,,genga_,_victory,genga_mag_event_story_00002_07_victory,manga_animation_genga_mag_event_story_00002_07_victory,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,8,原画,開始,,genga_,_start,genga_mag_event_story_00002_08_start,manga_animation_genga_mag_event_story_00002_08_start,,,通過済み,,
◎,イベント,mag,株式会社マジルミエ,event,story,2,8,原画,クリア,,genga_,_victory,genga_mag_event_story_00002_08_victory,manga_animation_genga_mag_event_story_00002_08_victory,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,1day,1,1,原画,開始,,genga_,_start,genga_yuw_event_1day_00001_01_start,manga_animation_genga_yuw_event_1day_00001_01_start,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,1day,1,1,原画,クリア,,genga_,_victory,genga_yuw_event_1day_00001_01_victory,manga_animation_genga_yuw_event_1day_00001_01_victory,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,1,原画,開始,,genga_,_start,genga_yuw_event_story_00001_01_start,manga_animation_genga_yuw_event_story_00001_01_start,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,1,原画,クリア,,genga_,_victory,genga_yuw_event_story_00001_01_victory,manga_animation_genga_yuw_event_story_00001_01_victory,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,2,原画,開始,,genga_,_start,genga_yuw_event_story_00001_02_start,manga_animation_genga_yuw_event_story_00001_02_start,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,2,原画,クリア,,genga_,_victory,genga_yuw_event_story_00001_02_victory,manga_animation_genga_yuw_event_story_00001_02_victory,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,3,原画,開始,,genga_,_start,genga_yuw_event_story_00001_03_start,manga_animation_genga_yuw_event_story_00001_03_start,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,3,原画,クリア,,genga_,_victory,genga_yuw_event_story_00001_03_victory,manga_animation_genga_yuw_event_story_00001_03_victory,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,4,原画,開始,,genga_,_start,genga_yuw_event_story_00001_04_start,manga_animation_genga_yuw_event_story_00001_04_start,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,5,原画,開始,,genga_,_start,genga_yuw_event_story_00001_05_start,manga_animation_genga_yuw_event_story_00001_05_start,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,5,原画,クリア,,genga_,_victory,genga_yuw_event_story_00001_05_victory,manga_animation_genga_yuw_event_story_00001_05_victory,,,通過済み,,
◎,イベント,yuw,2.5次元の誘惑,event,story,1,6,原画,開始,,genga_,_start,genga_yuw_event_story_00001_06_start,manga_animation_genga_yuw_event_story_00001_06_start,,,通過済み,,
