,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w3,,14,,,,c_you_00301_you1_advent_Boss_Green,,,,ハナ,,,,Boss,,Green,,Attack,,AdventBoss2,,Normal,,,,300000,,30,,1000,,10,,88.5,,,,564.97,,,,,,,,,,,3,,183.5,,,,35,,0.3,,,,,,,,1,,100,,150,,200,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,150,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,14,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_you_00301_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss2,Normal,30,10,1,150,200,,None,,202512020
,w3,,15,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,50000,,50,,500,,5,,63.5,,,,393.70,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,30,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,Fall,,1.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,15,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,Fall,1.5,None,,None,,None,,,FALSE,,Default,Normal,50,5,1,40,30,,None,,202512020
,w3,,16,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,50000,,50,,500,,5,,63.5,,,,393.70,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,16,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,50,5,1,40,10,,None,,202512020
,w3,,17,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,50000,,50,,500,,5,,63.5,,,,393.70,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,10,,,,,,,,FriendUnitDead,,,,16,,500,,4,,150,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,17,,FriendUnitDead,16,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,4,500,None,,None,,None,,None,,,FALSE,,Default,Normal,50,5,1,40,10,150,None,,202512020
,w3,,18,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,50000,,50,,500,,5,,63.5,,,,393.70,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,30,,,,,,,,EnterTargetKomaIndex,,,,1,,500,,2,,,,Fall,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,18,,EnterTargetKomaIndex,1,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,500,Fall,2.5,None,,None,,None,,,FALSE,,Default,Normal,50,5,1,40,30,,None,,202512020
,w3,,groupchange_4,,,,w4,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,14,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w3,groupchange_4,,FriendUnitDead,14,SwitchSequenceGroup,w4,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w4,,19,,,,e_you_00101_you1_advent_Boss_Colorless,,,,イケメンじゃない殺し屋,,,,Boss,,Colorless,,Attack,,AdventBoss2,,Normal,,,,500000,,50,,1500,,15,,63.5,,,,1181.10,,25%で中ノックバック,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,5,,100,,150,,200,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,150,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,19,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,e_you_00101_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss2,Normal,50,15,1,150,200,,None,,202512020
,w4,,20,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,80000,,80,,800,,8,,63.5,,,,629.92,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,20,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,80,8,1,40,10,,None,,202512020
,w4,,21,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,80000,,80,,800,,8,,63.5,,,,629.92,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,21,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,80,8,1,40,10,,None,,202512020
,w4,,22,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,60000,,60,,1200,,12,,63.5,,,,944.88,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,50,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,22,,ElapsedTimeSinceSequenceGroupActivated,50,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,60,12,1,50,10,,None,,202512020
,w4,,23,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,60000,,60,,1200,,12,,63.5,,,,944.88,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,800,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,23,,ElapsedTimeSinceSequenceGroupActivated,800,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,60,12,1,50,10,,None,,202512020
,w4,,24,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,60000,,60,,1200,,12,,63.5,,,,944.88,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,50,,10,,,,,,,,FriendUnitDead,,,,19,,250,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,24,,FriendUnitDead,19,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,250,None,,None,,None,,None,,,FALSE,,Default,Normal,60,12,1,50,10,,None,,202512020
,w4,,25,,,,e_you_00101_you1_advent_Boss_Colorless,,,,イケメンじゃない殺し屋,,,,Boss,,Colorless,,Attack,,AdventBoss3,,Normal,,,,500000,,50,,1500,,15,,63.5,,,,1181.10,,25%で中ノックバック,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,5,,100,,150,,100,,,,,,,,FriendUnitDead,,,,19,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,25,,FriendUnitDead,19,SummonEnemy,e_you_00101_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss3,Normal,50,15,1,150,100,50,None,,202512020
,w4,,groupchange_5,,,,w5,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1000,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w4,groupchange_5,,ElapsedTimeSinceSequenceGroupActivated,1000,SwitchSequenceGroup,w5,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,w5,,26,,,,c_you_00001_you1_advent_Boss_Green,,,,元殺し屋の新人教諭 リタ,,,,Boss,,Green,,Attack,,AdventBoss3,,Normal,,,,700000,,70,,2200,,22,,67,,,,1641.79,,,,,,1回目の攻撃に合わせて攻撃UP100%(5秒間),,,,,4,,88.5,,,,45,,0.2,,,,,,,,1,,100,,150,,500,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,26,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_you_00001_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss3,Normal,70,22,1,150,500,,None,,202512020
,w5,,27,,,,c_you_00201_you1_advent_Normal_Green,,,,ダグ,,,,Normal,,Green,,Technical,,Default,,Normal,,,,400000,,400,,1500,,15,,83.5,,,,898.20,,,,,,1回目の攻撃に合わせて攻撃DOWN10%(6秒間),,,,,4,,158.5,,,,32,,0.6,,,,,,,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,27,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_you_00201_you1_advent_Normal_Green,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,400,15,1,50,10,,None,,202512020
,w5,,28,,,,c_you_00201_you1_advent_Normal_Green,,,,ダグ,,,,Normal,,Green,,Technical,,Default,,Normal,,,,400000,,400,,1500,,15,,83.5,,,,898.20,,,,,,1回目の攻撃に合わせて攻撃DOWN10%(6秒間),,,,,4,,158.5,,,,32,,0.6,,,,,,,,1,,50,,50,,10,,,,,,,,FriendUnitDead,,,,27,,0,,1,,100,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,28,,FriendUnitDead,27,SummonEnemy,c_you_00201_you1_advent_Normal_Green,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,400,15,1,50,10,100,None,,202512020
,w5,,29,,,,c_you_00301_you1_advent_Normal_Colorless,,,,ハナ,,,,Normal,,Colorless,,Attack,,Default,,Normal,,,,350000,,350,,1800,,18,,88.5,,,,1016.95,,,,,,,,,,,3,,183.5,,,,35,,0.3,,,,,,,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,350,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,29,,ElapsedTimeSinceSequenceGroupActivated,350,SummonEnemy,c_you_00301_you1_advent_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,350,18,1,50,10,,None,,202512020
,w5,,30,,,,c_you_00301_you1_advent_Normal_Colorless,,,,ハナ,,,,Normal,,Colorless,,Attack,,Default,,Normal,,,,350000,,350,,1800,,18,,88.5,,,,1016.95,,,,,,,,,,,3,,183.5,,,,35,,0.3,,,,,,,,1,,50,,50,,10,,,,,,,,FriendUnitDead,,,,29,,0,,1,,100,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,30,,FriendUnitDead,29,SummonEnemy,c_you_00301_you1_advent_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,350,18,1,50,10,100,None,,202512020
,w5,,31,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,100000,,100,,1000,,10,,63.5,,,,787.40,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,30,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,250,,3,,,,Fall,,2.2,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,31,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,250,Fall,2.2,None,,None,,None,,,FALSE,,Default,Normal,100,10,1,40,30,,None,,202512020
,w5,,32,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,100000,,100,,1000,,10,,63.5,,,,787.40,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,400,,50,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,32,,ElapsedTimeSinceSequenceGroupActivated,400,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,50,None,,None,,None,,None,,,FALSE,,Default,Normal,100,10,1,40,10,,None,,202512020
,w5,,33,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,100000,,100,,1000,,10,,63.5,,,,787.40,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,40,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1250,,250,,5,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,33,,ElapsedTimeSinceSequenceGroupActivated,1250,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,5,250,None,,None,,None,,None,,,FALSE,,Default,Normal,100,10,1,40,10,,None,,202512020
,w5,,groupchange_6,,,,w6,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,26,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w5,groupchange_6,,FriendUnitDead,26,SwitchSequenceGroup,w6,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w6,,34,,,,e_you_00001_you1_advent_Boss_Colorless,,,,不良系金髪イケメン,,,,Boss,,Colorless,,Defense,,AdventBoss3,,Normal,,,,800000,,80,,1500,,15,,63.5,,,,1181.10,,100%で小ノックバック,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,100,,100,,200,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,0,,1,,,,Fall,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,34,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00001_you1_advent_Boss_Colorless,,1,0,Fall,2.5,None,,None,,None,,,FALSE,,AdventBoss3,Normal,80,15,1,100,200,,None,,202512020
,w6,,35,,,,e_you_00001_you1_advent_Boss_Colorless,,,,不良系金髪イケメン,,,,Boss,,Colorless,,Defense,,AdventBoss3,,Normal,,,,800000,,80,,1500,,15,,63.5,,,,1181.10,,100%で小ノックバック,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,100,,50,,200,,,,,,,,FriendUnitDead,,,,34,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,35,,FriendUnitDead,34,SummonEnemy,e_you_00001_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss3,Normal,80,15,1,50,200,50,None,,202512020
,w6,,36,,,,e_you_00101_you1_advent_Boss_Colorless,,,,イケメンじゃない殺し屋,,,,Boss,,Colorless,,Attack,,AdventBoss3,,Normal,,,,500000,,50,,3000,,30,,63.5,,,,2362.20,,25%で中ノックバック,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,5,,100,,100,,200,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,36,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00101_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss3,Normal,50,30,1,100,200,,None,,202512020
,w6,,37,,,,e_you_00101_you1_advent_Boss_Colorless,,,,イケメンじゃない殺し屋,,,,Boss,,Colorless,,Attack,,AdventBoss3,,Normal,,,,500000,,50,,3000,,30,,63.5,,,,2362.20,,25%で中ノックバック,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,5,,100,,50,,200,,,,,,,,FriendUnitDead,,,,36,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,37,,FriendUnitDead,36,SummonEnemy,e_you_00101_you1_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss3,Normal,50,30,1,50,200,50,None,,202512020
,w6,,38,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,100000,,100,,1000,,10,,63.5,,,,787.40,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,25,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,38,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,100,10,1,25,10,,None,,202512020
,w6,,39,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,100000,,100,,1000,,10,,63.5,,,,787.40,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,25,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,200,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,39,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,200,None,,None,,None,,None,,,FALSE,,Default,Normal,100,10,1,25,10,,None,,202512020
,w6,,40,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,100000,,100,,1000,,10,,63.5,,,,787.40,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,25,,10,,,,,,,,FriendUnitDead,,,,39,,500,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,40,,FriendUnitDead,39,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,100,10,1,25,10,,None,,202512020
,w6,,41,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,80000,,80,,1500,,15,,63.5,,,,1181.10,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,25,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,400,,100,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,41,,ElapsedTimeSinceSequenceGroupActivated,400,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,100,None,,None,,None,,None,,,FALSE,,Default,Normal,80,15,1,25,10,,None,,202512020
,w6,,42,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,80000,,80,,1500,,15,,63.5,,,,1181.10,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,25,,10,,,,,,,,FriendUnitDead,,,,41,,500,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,42,,FriendUnitDead,41,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,80,15,1,25,10,,None,,202512020
,w6,,43,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,80000,,80,,1500,,15,,63.5,,,,1181.10,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,25,,30,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,50,,2,,,,Fall,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,43,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,2,50,Fall,2.5,None,,None,,None,,,FALSE,,Default,Normal,80,15,1,25,30,,None,,202512020
,w6,,groupchange_7,,,,w1,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,35,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,groupchange_7,,FriendUnitDead,35,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
